LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2F_a(Full)_R,1670287030,DM3,125,22,103
lLN2F_a(Full)_R,1670287030,DL5,194,42,152
lLN2F_a(Full)_R,1670287030,D,4,4,0
lLN2F_a(Full)_R,1670287030,DA1,343,68,275
lLN2F_a(Full)_R,1670287030,DL3,50,22,28
lLN2F_a(Full)_R,1670287030,DL4,110,34,76
lLN2F_a(Full)_R,1670287030,DC1,148,62,86
lLN2F_a(Full)_R,1670287030,DC2,89,12,77
lLN2F_a(Full)_R,1670287030,VA6,0,0,0
lLN2F_a(Full)_R,1670287030,DP1m,376,100,276
lLN2F_a(Full)_R,1670287030,DL2d,93,28,65
lLN2F_a(Full)_R,1670287030,DM4,168,55,113
lLN2F_a(Full)_R,1670287030,DC4,272,81,191
lLN2F_a(Full)_R,1670287030,DL1,198,55,143
lLN2F_a(Full)_R,1670287030,DM1,236,55,181
lLN2F_a(Full)_R,1670287030,VM7v,33,7,26
lLN2F_a(Full)_R,1670287030,DM6,163,41,122
lLN2F_a(Full)_R,1670287030,DM2,91,27,64
lLN2F_a(Full)_R,1670287030,DM5,0,0,0
lLN2F_a(Full)_R,1670287030,DL2v,162,43,119
lLN2F_a(Full)_R,1670287030,DA2,0,0,0
lLN2F_a(Full)_R,1670287030,DA4m,0,0,0
lLN2F_a(Full)_R,1670287030,DA3,5,5,0
lLN2F_a(Full)_R,1670287030,VP1d,318,318,0
lLN2F_a(Full)_R,1670287030,DP1l,190,42,148
lLN2F_a(Full)_R,1670287030,VL2p,160,69,91
lLN2F_a(Full)_R,1670287030,VM7d,0,0,0
lLN2F_a(Full)_R,1670287030,VP4,265,175,90
lLN2F_a(Full)_R,1670287030,VL2a,49,5,44
lLN2F_a(Full)_R,1670287030,DC3,12,12,0
lLN2F_a(Full)_R,1670287030,VM6,9,0,9
lLN2F_a(Full)_R,1670287030,VC2,0,0,0
lLN2F_a(Full)_R,1670287030,VC3,46,18,28
lLN2F_a(Full)_R,1670287030,VC1,117,17,100
lLN2F_a(Full)_R,1670287030,VA1d,5,5,0
lLN2F_a(Full)_R,1670287030,VA1v,4,4,0
lLN2F_a(Full)_R,1670287030,VM5d,0,0,0
lLN2F_a(Full)_R,1670287030,VA3,17,6,11
lLN2F_a(Full)_R,1670287030,VM5v,0,0,0
lLN2F_a(Full)_R,1670287030,VP1l,158,158,0
lLN2F_a(Full)_R,1670287030,VP1m,228,228,0
lLN2F_a(Full)_R,1670287030,VA7m,0,0,0
lLN2F_a(Full)_R,1670287030,VC4,0,0,0
lLN2F_a(Full)_R,1670287030,,0,0,0
lLN2F_a(Full)_R,1670287030,VA7l,11,0,11
lLN2F_a(Full)_R,1670287030,VA2,1,1,0
lLN2F_a(Full)_R,1670287030,VP2,98,98,0
lLN2F_a(Full)_R,1670287030,VA4,0,0,0
lLN2F_a(Full)_R,1670287030,VP3,124,124,0
lLN2F_a(Full)_R,1670287030,VC5,1,1,0
lLN2F_a(Full)_R,1670287030,VP5,127,127,0
lLN2F_a(Full)_R,1670287030,VM3,0,0,0
lLN2F_a(Full)_R,1670287030,VL1,270,270,0
lLN2F_a(Full)_R,1670287030,VM1,0,0,0
lLN2F_a(Full)_R,1670287030,VM4,2,2,0
lLN2F_a(Full)_R,1670287030,VA5,0,0,0
lLN2F_a(Full)_R,1670287030,V,308,308,0
