LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_a_R,1670597533,D,0,0,0
lLN1_a_R,1670597533,DL5,4,3,1
lLN1_a_R,1670597533,VA6,0,0,0
lLN1_a_R,1670597533,DC1,10,7,3
lLN1_a_R,1670597533,DP1m,12,7,5
lLN1_a_R,1670597533,DM3,5,3,2
lLN1_a_R,1670597533,DM1,39,20,19
lLN1_a_R,1670597533,DC4,17,8,9
lLN1_a_R,1670597533,DM6,4,2,2
lLN1_a_R,1670597533,DC2,5,4,1
lLN1_a_R,1670597533,DL2d,2,1,1
lLN1_a_R,1670597533,DL2v,4,1,3
lLN1_a_R,1670597533,VP1d,17,17,0
lLN1_a_R,1670597533,DM2,4,0,4
lLN1_a_R,1670597533,DP1l,2,1,1
lLN1_a_R,1670597533,DA2,0,0,0
lLN1_a_R,1670597533,,0,0,0
lLN1_a_R,1670597533,DC3,1,1,0
lLN1_a_R,1670597533,VM7d,0,0,0
lLN1_a_R,1670597533,VM5d,0,0,0
lLN1_a_R,1670597533,VP1l,3,3,0
lLN1_a_R,1670597533,VP1m,8,8,0
lLN1_a_R,1670597533,VM7v,2,1,1
lLN1_a_R,1670597533,VM6,0,0,0
lLN1_a_R,1670597533,VL2p,6,2,4
lLN1_a_R,1670597533,VA7m,0,0,0
lLN1_a_R,1670597533,VM5v,0,0,0
lLN1_a_R,1670597533,VC2,0,0,0
lLN1_a_R,1670597533,VP2,20,20,0
lLN1_a_R,1670597533,VC1,0,0,0
lLN1_a_R,1670597533,VP3,2,2,0
lLN1_a_R,1670597533,VC5,0,0,0
lLN1_a_R,1670597533,VC3,1,1,0
lLN1_a_R,1670597533,VP5,1,1,0
lLN1_a_R,1670597533,VA2,0,0,0
lLN1_a_R,1670597533,VM3,0,0,0
lLN1_a_R,1670597533,VA5,0,0,0
lLN1_a_R,1670597533,VM4,0,0,0
lLN1_a_R,1670597533,V,12,12,0
lLN1_a_R,1670597533,VL2a,1,1,0
