LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_b(Patchy)_R,1671257931,DL5,112,38,74
lLN2P_b(Patchy)_R,1671257931,D,0,0,0
lLN2P_b(Patchy)_R,1671257931,DC1,128,82,46
lLN2P_b(Patchy)_R,1671257931,DC2,106,35,71
lLN2P_b(Patchy)_R,1671257931,DM1,154,78,76
lLN2P_b(Patchy)_R,1671257931,DL2d,42,22,20
lLN2P_b(Patchy)_R,1671257931,DP1m,51,37,14
lLN2P_b(Patchy)_R,1671257931,DC4,105,45,60
lLN2P_b(Patchy)_R,1671257931,DL1,156,62,94
lLN2P_b(Patchy)_R,1671257931,VM7v,37,7,30
lLN2P_b(Patchy)_R,1671257931,DM6,277,126,151
lLN2P_b(Patchy)_R,1671257931,DM4,2,1,1
lLN2P_b(Patchy)_R,1671257931,DL2v,44,25,19
lLN2P_b(Patchy)_R,1671257931,DA4m,0,0,0
lLN2P_b(Patchy)_R,1671257931,DA2,0,0,0
lLN2P_b(Patchy)_R,1671257931,DM2,41,21,20
lLN2P_b(Patchy)_R,1671257931,VM7d,0,0,0
lLN2P_b(Patchy)_R,1671257931,VL2a,7,5,2
lLN2P_b(Patchy)_R,1671257931,DC3,19,19,0
lLN2P_b(Patchy)_R,1671257931,VC3,49,16,33
lLN2P_b(Patchy)_R,1671257931,VP4,12,10,2
lLN2P_b(Patchy)_R,1671257931,VA1d,5,5,0
lLN2P_b(Patchy)_R,1671257931,VM5d,0,0,0
lLN2P_b(Patchy)_R,1671257931,VA6,0,0,0
lLN2P_b(Patchy)_R,1671257931,VM5v,0,0,0
lLN2P_b(Patchy)_R,1671257931,VL2p,15,6,9
lLN2P_b(Patchy)_R,1671257931,VP1m,35,35,0
lLN2P_b(Patchy)_R,1671257931,VC4,0,0,0
lLN2P_b(Patchy)_R,1671257931,VA7m,0,0,0
lLN2P_b(Patchy)_R,1671257931,VM6,0,0,0
lLN2P_b(Patchy)_R,1671257931,VP1l,10,10,0
lLN2P_b(Patchy)_R,1671257931,VA7l,6,0,6
lLN2P_b(Patchy)_R,1671257931,VA4,0,0,0
lLN2P_b(Patchy)_R,1671257931,VC5,3,3,0
lLN2P_b(Patchy)_R,1671257931,VC2,0,0,0
lLN2P_b(Patchy)_R,1671257931,VM3,1,1,0
lLN2P_b(Patchy)_R,1671257931,VA5,0,0,0
lLN2P_b(Patchy)_R,1671257931,VA3,0,0,0
lLN2P_b(Patchy)_R,1671257931,,0,0,0
lLN2P_b(Patchy)_R,1671257931,VP2,3,3,0
