LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN12b_R,1671270875,D,0,0,0
lLN12b_R,1671270875,VA6,0,0,0
lLN12b_R,1671270875,DM1,7,4,3
lLN12b_R,1671270875,DC1,3,3,0
lLN12b_R,1671270875,VC2,0,0,0
lLN12b_R,1671270875,VM7v,2,0,2
lLN12b_R,1671270875,DC3,0,0,0
lLN12b_R,1671270875,DC2,3,3,0
lLN12b_R,1671270875,VC3,1,1,0
lLN12b_R,1671270875,VM5d,0,0,0
lLN12b_R,1671270875,VC1,8,2,6
lLN12b_R,1671270875,VC4,0,0,0
lLN12b_R,1671270875,VA7l,4,0,4
lLN12b_R,1671270875,VA2,0,0,0
lLN12b_R,1671270875,VA3,1,0,1
lLN12b_R,1671270875,DL4,1,1,0
