LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN30_R,1671620613,DM3,18,12,6
v2LN30_R,1671620613,D,0,0,0
v2LN30_R,1671620613,DA1,579,191,388
v2LN30_R,1671620613,DC1,111,51,60
v2LN30_R,1671620613,VA6,0,0,0
v2LN30_R,1671620613,DL3,89,33,56
v2LN30_R,1671620613,DL2d,64,29,35
v2LN30_R,1671620613,DL4,2,1,1
v2LN30_R,1671620613,VM7v,10,5,5
v2LN30_R,1671620613,DM6,87,22,65
v2LN30_R,1671620613,DC4,3,1,2
v2LN30_R,1671620613,DL2v,196,85,111
v2LN30_R,1671620613,DA2,0,0,0
v2LN30_R,1671620613,VP1d,25,25,0
v2LN30_R,1671620613,DM2,21,6,15
v2LN30_R,1671620613,DP1l,85,30,55
v2LN30_R,1671620613,DP1m,2,2,0
v2LN30_R,1671620613,DA3,0,0,0
v2LN30_R,1671620613,VM7d,0,0,0
v2LN30_R,1671620613,VL2a,118,51,67
v2LN30_R,1671620613,DC3,13,13,0
v2LN30_R,1671620613,VM6,0,0,0
v2LN30_R,1671620613,VC2,0,0,0
v2LN30_R,1671620613,VC3,18,6,12
v2LN30_R,1671620613,VC1,80,5,75
v2LN30_R,1671620613,VA1d,7,7,0
v2LN30_R,1671620613,VA1v,1,1,0
v2LN30_R,1671620613,VP4,11,11,0
v2LN30_R,1671620613,VL2p,55,28,27
v2LN30_R,1671620613,VM5v,0,0,0
v2LN30_R,1671620613,VA3,2,2,0
v2LN30_R,1671620613,VP1m,1,1,0
v2LN30_R,1671620613,VA7m,0,0,0
v2LN30_R,1671620613,VC4,0,0,0
v2LN30_R,1671620613,VA2,0,0,0
v2LN30_R,1671620613,VA4,0,0,0
v2LN30_R,1671620613,VM2,0,0,0
v2LN30_R,1671620613,VA5,0,0,0
v2LN30_R,1671620613,VC5,7,7,0
v2LN30_R,1671620613,VA7l,8,0,8
v2LN30_R,1671620613,VP5,7,7,0
v2LN30_R,1671620613,VL1,145,145,0
v2LN30_R,1671620613,VM1,0,0,0
v2LN30_R,1671620613,VM4,0,0,0
v2LN30_R,1671620613,,0,0,0
