LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_c_R,1702651358,DL5,3,0,3
lLN1_c_R,1702651358,DC4,18,12,6
lLN1_c_R,1702651358,DM3,2,0,2
lLN1_c_R,1702651358,DC2,3,1,2
lLN1_c_R,1702651358,DC1,10,8,2
lLN1_c_R,1702651358,D,0,0,0
lLN1_c_R,1702651358,DP1m,8,5,3
lLN1_c_R,1702651358,DM1,13,9,4
lLN1_c_R,1702651358,DL2v,15,5,10
lLN1_c_R,1702651358,DL2d,9,5,4
lLN1_c_R,1702651358,VP1d,19,19,0
lLN1_c_R,1702651358,DA1,1,1,0
lLN1_c_R,1702651358,DM2,5,3,2
lLN1_c_R,1702651358,DM4,1,0,1
lLN1_c_R,1702651358,DL1,3,3,0
lLN1_c_R,1702651358,VL2a,7,2,5
lLN1_c_R,1702651358,DA3,0,0,0
lLN1_c_R,1702651358,VM7v,6,2,4
lLN1_c_R,1702651358,VP4,3,1,2
lLN1_c_R,1702651358,DC3,2,2,0
lLN1_c_R,1702651358,DP1l,4,3,1
lLN1_c_R,1702651358,VM6,1,0,1
lLN1_c_R,1702651358,,0,0,0
lLN1_c_R,1702651358,VA1d,0,0,0
lLN1_c_R,1702651358,VM5d,0,0,0
lLN1_c_R,1702651358,VA6,0,0,0
lLN1_c_R,1702651358,VM7d,0,0,0
lLN1_c_R,1702651358,VP1m,48,48,0
lLN1_c_R,1702651358,VM5v,0,0,0
lLN1_c_R,1702651358,VC1,1,1,0
lLN1_c_R,1702651358,VP1l,2,2,0
lLN1_c_R,1702651358,VL2p,3,3,0
lLN1_c_R,1702651358,VC4,0,0,0
lLN1_c_R,1702651358,VA1v,0,0,0
lLN1_c_R,1702651358,VA7m,0,0,0
lLN1_c_R,1702651358,VA2,0,0,0
lLN1_c_R,1702651358,VC2,0,0,0
lLN1_c_R,1702651358,VA7l,0,0,0
lLN1_c_R,1702651358,VA3,0,0,0
lLN1_c_R,1702651358,VP2,1,1,0
lLN1_c_R,1702651358,VC5,0,0,0
lLN1_c_R,1702651358,V,16,16,0
lLN1_c_R,1702651358,VM1,0,0,0
lLN1_c_R,1702651358,VL1,10,10,0
lLN1_c_R,1702651358,VA4,0,0,0
lLN1_c_R,1702651358,DA2,0,0,0
