LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
vLN24,1763037543,DL5,6,2,4
vLN24,1763037543,DC1,39,25,14
vLN24,1763037543,DM2,20,13,7
vLN24,1763037543,DM1,3,1,2
vLN24,1763037543,DL1,1,0,1
vLN24,1763037543,VP1d,30,30,0
vLN24,1763037543,VM7d,0,0,0
vLN24,1763037543,VM7v,7,2,5
vLN24,1763037543,VP1l,32,32,0
vLN24,1763037543,VP1m,86,86,0
vLN24,1763037543,VL2a,1,0,1
vLN24,1763037543,VL2p,2,2,0
vLN24,1763037543,VC1,1,1,0
vLN24,1763037543,VC5,0,0,0
vLN24,1763037543,VP5,2,2,0
vLN24,1763037543,V,1106,1106,0
vLN24,1763037543,VA4,0,0,0
vLN24,1763037543,VL1,2,2,0
