LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
l2LN19_R,1793744512,DC4,30,20,10
l2LN19_R,1793744512,DC1,13,12,1
l2LN19_R,1793744512,DM4,10,6,4
l2LN19_R,1793744512,VM7v,31,11,20
l2LN19_R,1793744512,,0,0,0
l2LN19_R,1793744512,DM2,3,3,0
l2LN19_R,1793744512,VM7d,0,0,0
l2LN19_R,1793744512,VP1d,7,7,0
l2LN19_R,1793744512,VM5d,0,0,0
l2LN19_R,1793744512,VP1m,3,3,0
l2LN19_R,1793744512,VC4,0,0,0
l2LN19_R,1793744512,VC1,2,2,0
l2LN19_R,1793744512,VP5,10,10,0
l2LN19_R,1793744512,V,166,166,0
