LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN34a_R,1857830017,D,0,0,0
v2LN34a_R,1857830017,VP1d,6,6,0
v2LN34a_R,1857830017,DM1,2,2,0
v2LN34a_R,1857830017,DC4,1,1,0
v2LN34a_R,1857830017,DA4m,0,0,0
v2LN34a_R,1857830017,VA1d,1,1,0
v2LN34a_R,1857830017,VP1l,22,22,0
v2LN34a_R,1857830017,VP1m,7,7,0
v2LN34a_R,1857830017,VA1v,0,0,0
v2LN34a_R,1857830017,VP5,6,6,0
v2LN34a_R,1857830017,VP2,1,1,0
v2LN34a_R,1857830017,V,44,44,0
v2LN34a_R,1857830017,VP3,1,1,0
v2LN34a_R,1857830017,VL1,1,1,0
