LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_c(Patchy)_R,1858171556,DM3,6,2,4
lLN2P_c(Patchy)_R,1858171556,DL5,66,21,45
lLN2P_c(Patchy)_R,1858171556,DL4,110,47,63
lLN2P_c(Patchy)_R,1858171556,DC1,22,12,10
lLN2P_c(Patchy)_R,1858171556,DM1,35,14,21
lLN2P_c(Patchy)_R,1858171556,DP1m,18,6,12
lLN2P_c(Patchy)_R,1858171556,DC4,94,31,63
lLN2P_c(Patchy)_R,1858171556,DC2,51,21,30
lLN2P_c(Patchy)_R,1858171556,VM7v,24,7,17
lLN2P_c(Patchy)_R,1858171556,D,0,0,0
lLN2P_c(Patchy)_R,1858171556,DA2,0,0,0
lLN2P_c(Patchy)_R,1858171556,DA4m,0,0,0
lLN2P_c(Patchy)_R,1858171556,DM2,4,2,2
lLN2P_c(Patchy)_R,1858171556,DM5,1,1,0
lLN2P_c(Patchy)_R,1858171556,DP1l,13,7,6
lLN2P_c(Patchy)_R,1858171556,VP4,104,77,27
lLN2P_c(Patchy)_R,1858171556,DC3,7,7,0
lLN2P_c(Patchy)_R,1858171556,VM6,2,0,2
lLN2P_c(Patchy)_R,1858171556,VM7d,0,0,0
lLN2P_c(Patchy)_R,1858171556,VC3,30,11,19
lLN2P_c(Patchy)_R,1858171556,,0,0,0
lLN2P_c(Patchy)_R,1858171556,VL2p,5,4,1
lLN2P_c(Patchy)_R,1858171556,VM5v,0,0,0
lLN2P_c(Patchy)_R,1858171556,VP1l,7,7,0
lLN2P_c(Patchy)_R,1858171556,VP1m,16,16,0
lLN2P_c(Patchy)_R,1858171556,VA7m,0,0,0
lLN2P_c(Patchy)_R,1858171556,VC1,2,1,1
lLN2P_c(Patchy)_R,1858171556,VA1v,0,0,0
lLN2P_c(Patchy)_R,1858171556,VA2,0,0,0
lLN2P_c(Patchy)_R,1858171556,VC4,0,0,0
lLN2P_c(Patchy)_R,1858171556,VC2,0,0,0
lLN2P_c(Patchy)_R,1858171556,VA7l,0,0,0
lLN2P_c(Patchy)_R,1858171556,VC5,0,0,0
lLN2P_c(Patchy)_R,1858171556,VA5,0,0,0
