LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN17_R,1918173122,DL2d,1,0,1
lLN17_R,1918173122,DL2v,4,1,3
lLN17_R,1918173122,DA1,5,4,1
lLN17_R,1918173122,DC3,7,7,0
lLN17_R,1918173122,DL3,1,1,0
lLN17_R,1918173122,VP1d,1,1,0
lLN17_R,1918173122,VA1d,2,2,0
lLN17_R,1918173122,VA3,4,3,1
lLN17_R,1918173122,VA6,0,0,0
lLN17_R,1918173122,VA1v,8,8,0
lLN17_R,1918173122,VA2,0,0,0
lLN17_R,1918173122,VA7m,0,0,0
lLN17_R,1918173122,VC2,0,0,0
lLN17_R,1918173122,VL2a,2,2,0
lLN17_R,1918173122,VA5,0,0,0
