LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN12a_R,1918565786,VA6,0,0,0
lLN12a_R,1918565786,DA2,0,0,0
lLN12a_R,1918565786,DL1,17,11,6
lLN12a_R,1918565786,DC4,3,2,1
lLN12a_R,1918565786,DC1,1,1,0
lLN12a_R,1918565786,VM7v,2,1,1
lLN12a_R,1918565786,VM7d,0,0,0
lLN12a_R,1918565786,DC2,2,2,0
lLN12a_R,1918565786,VM5d,0,0,0
lLN12a_R,1918565786,VA3,0,0,0
lLN12a_R,1918565786,VM5v,0,0,0
lLN12a_R,1918565786,VP1m,2,2,0
lLN12a_R,1918565786,VA7m,0,0,0
lLN12a_R,1918565786,VC3,4,4,0
lLN12a_R,1918565786,VA2,0,0,0
lLN12a_R,1918565786,VC4,0,0,0
lLN12a_R,1918565786,VC1,14,8,6
lLN12a_R,1918565786,VA7l,0,0,0
lLN12a_R,1918565786,VA5,0,0,0
