LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN3b_R,1920590638,DL5,30,8,22
v2LN3b_R,1920590638,DA1,5,0,5
v2LN3b_R,1920590638,DL3,4,2,2
v2LN3b_R,1920590638,DL2d,34,22,12
v2LN3b_R,1920590638,DP1m,5,3,2
v2LN3b_R,1920590638,DM3,12,2,10
v2LN3b_R,1920590638,DC2,8,4,4
v2LN3b_R,1920590638,VA6,0,0,0
v2LN3b_R,1920590638,DM1,5,1,4
v2LN3b_R,1920590638,DM4,29,13,16
v2LN3b_R,1920590638,DM6,6,2,4
v2LN3b_R,1920590638,DC4,3,2,1
v2LN3b_R,1920590638,DL2v,21,11,10
v2LN3b_R,1920590638,DL1,2,1,1
v2LN3b_R,1920590638,DP1l,4,3,1
v2LN3b_R,1920590638,VL2a,4,3,1
v2LN3b_R,1920590638,DC1,1,1,0
v2LN3b_R,1920590638,DC3,2,2,0
v2LN3b_R,1920590638,VA1d,0,0,0
v2LN3b_R,1920590638,VA1v,0,0,0
v2LN3b_R,1920590638,VL2p,19,10,9
v2LN3b_R,1920590638,VM7d,0,0,0
v2LN3b_R,1920590638,VM5v,0,0,0
v2LN3b_R,1920590638,VM5d,0,0,0
v2LN3b_R,1920590638,VP1d,1,1,0
v2LN3b_R,1920590638,VC1,1,1,0
v2LN3b_R,1920590638,VA7m,0,0,0
v2LN3b_R,1920590638,VC3,2,1,1
v2LN3b_R,1920590638,VA2,0,0,0
v2LN3b_R,1920590638,VC5,0,0,0
v2LN3b_R,1920590638,VA3,1,0,1
