LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
il3LN6_R,5813018460,DM3,98,18,80
il3LN6_R,5813018460,DL5,214,24,190
il3LN6_R,5813018460,D,0,0,0
il3LN6_R,5813018460,DA1,1143,189,954
il3LN6_R,5813018460,DL3,160,40,120
il3LN6_R,5813018460,DC1,222,55,167
il3LN6_R,5813018460,DC2,273,25,248
il3LN6_R,5813018460,VA6,0,0,0
il3LN6_R,5813018460,DM1,706,135,571
il3LN6_R,5813018460,DP1m,712,161,551
il3LN6_R,5813018460,DL2d,117,18,99
il3LN6_R,5813018460,DM4,418,98,320
il3LN6_R,5813018460,DC4,259,34,225
il3LN6_R,5813018460,DL1,365,53,312
il3LN6_R,5813018460,DL4,3,1,2
il3LN6_R,5813018460,VM7v,53,6,47
il3LN6_R,5813018460,DM2,129,35,94
il3LN6_R,5813018460,DL2v,239,43,196
il3LN6_R,5813018460,DA3,0,0,0
il3LN6_R,5813018460,DP1l,523,104,419
il3LN6_R,5813018460,VL2p,171,27,144
il3LN6_R,5813018460,VL2a,183,20,163
il3LN6_R,5813018460,VM7d,0,0,0
il3LN6_R,5813018460,,0,0,0
il3LN6_R,5813018460,DC3,9,9,0
il3LN6_R,5813018460,VM6,13,0,13
il3LN6_R,5813018460,VC2,0,0,0
il3LN6_R,5813018460,DA4l,0,0,0
il3LN6_R,5813018460,DA4m,0,0,0
il3LN6_R,5813018460,VC3,59,13,46
il3LN6_R,5813018460,VC1,181,15,166
il3LN6_R,5813018460,VA1d,6,6,0
il3LN6_R,5813018460,VA1v,3,3,0
il3LN6_R,5813018460,VM5d,0,0,0
il3LN6_R,5813018460,VA3,2,0,2
il3LN6_R,5813018460,VM5v,0,0,0
il3LN6_R,5813018460,VC4,0,0,0
il3LN6_R,5813018460,VA7m,0,0,0
il3LN6_R,5813018460,VA7l,12,0,12
il3LN6_R,5813018460,VA4,0,0,0
il3LN6_R,5813018460,VC5,2,2,0
il3LN6_R,5813018460,VA2,0,0,0
il3LN6_R,5813018460,VA5,0,0,0
il3LN6_R,5813018460,VM1,0,0,0
il3LN6_R,5813018460,VM4,0,0,0
il3LN6_R,5813018460,VL1,2,2,0
