LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_b(Tortuous)_R,5813034493,DM3,140,53,87
lLN2T_b(Tortuous)_R,5813034493,DL5,246,41,205
lLN2T_b(Tortuous)_R,5813034493,D,7,7,0
lLN2T_b(Tortuous)_R,5813034493,DA1,368,101,267
lLN2T_b(Tortuous)_R,5813034493,DL3,100,27,73
lLN2T_b(Tortuous)_R,5813034493,DC1,189,82,107
lLN2T_b(Tortuous)_R,5813034493,DC2,250,42,208
lLN2T_b(Tortuous)_R,5813034493,VA6,0,0,0
lLN2T_b(Tortuous)_R,5813034493,DL4,39,12,27
lLN2T_b(Tortuous)_R,5813034493,DM1,640,207,433
lLN2T_b(Tortuous)_R,5813034493,DP1m,398,95,303
lLN2T_b(Tortuous)_R,5813034493,DM4,277,107,170
lLN2T_b(Tortuous)_R,5813034493,DC4,447,137,310
lLN2T_b(Tortuous)_R,5813034493,DL1,357,100,257
lLN2T_b(Tortuous)_R,5813034493,VM7v,34,8,26
lLN2T_b(Tortuous)_R,5813034493,DM6,347,114,233
lLN2T_b(Tortuous)_R,5813034493,DA3,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VP1d,97,97,0
lLN2T_b(Tortuous)_R,5813034493,VL2p,178,89,89
lLN2T_b(Tortuous)_R,5813034493,DM2,69,28,41
lLN2T_b(Tortuous)_R,5813034493,VM7d,0,0,0
lLN2T_b(Tortuous)_R,5813034493,,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VL2a,59,38,21
lLN2T_b(Tortuous)_R,5813034493,DC3,54,54,0
lLN2T_b(Tortuous)_R,5813034493,VM6,2,0,2
lLN2T_b(Tortuous)_R,5813034493,VC2,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VP4,68,45,23
lLN2T_b(Tortuous)_R,5813034493,VC3,110,39,71
lLN2T_b(Tortuous)_R,5813034493,VC1,110,15,95
lLN2T_b(Tortuous)_R,5813034493,VA1d,13,13,0
lLN2T_b(Tortuous)_R,5813034493,VA1v,1,1,0
lLN2T_b(Tortuous)_R,5813034493,VM5d,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VA3,24,11,13
lLN2T_b(Tortuous)_R,5813034493,VM5v,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VP1l,56,56,0
lLN2T_b(Tortuous)_R,5813034493,VP1m,73,73,0
lLN2T_b(Tortuous)_R,5813034493,VA7m,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VC4,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VA7l,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VA2,1,1,0
lLN2T_b(Tortuous)_R,5813034493,VP2,87,87,0
lLN2T_b(Tortuous)_R,5813034493,VA4,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VP3,164,164,0
lLN2T_b(Tortuous)_R,5813034493,VC5,4,4,0
lLN2T_b(Tortuous)_R,5813034493,VP5,197,197,0
lLN2T_b(Tortuous)_R,5813034493,VM4,4,4,0
lLN2T_b(Tortuous)_R,5813034493,VA5,0,0,0
lLN2T_b(Tortuous)_R,5813034493,VL1,48,48,0
lLN2T_b(Tortuous)_R,5813034493,V,388,388,0
lLN2T_b(Tortuous)_R,5813034493,VM1,0,0,0
