LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_a(Tortuous)_R,5813056598,DM3,27,9,18
lLN2T_a(Tortuous)_R,5813056598,DL5,60,4,56
lLN2T_a(Tortuous)_R,5813056598,D,0,0,0
lLN2T_a(Tortuous)_R,5813056598,DA1,2,0,2
lLN2T_a(Tortuous)_R,5813056598,DC1,90,26,64
lLN2T_a(Tortuous)_R,5813056598,DC2,32,6,26
lLN2T_a(Tortuous)_R,5813056598,VA6,0,0,0
lLN2T_a(Tortuous)_R,5813056598,DL4,36,10,26
lLN2T_a(Tortuous)_R,5813056598,DP1m,75,17,58
lLN2T_a(Tortuous)_R,5813056598,DL2d,3,1,2
lLN2T_a(Tortuous)_R,5813056598,DM4,33,10,23
lLN2T_a(Tortuous)_R,5813056598,DC4,69,23,46
lLN2T_a(Tortuous)_R,5813056598,DM1,75,14,61
lLN2T_a(Tortuous)_R,5813056598,DL1,42,4,38
lLN2T_a(Tortuous)_R,5813056598,DM6,20,4,16
lLN2T_a(Tortuous)_R,5813056598,DL2v,9,2,7
lLN2T_a(Tortuous)_R,5813056598,DA4m,0,0,0
lLN2T_a(Tortuous)_R,5813056598,DA3,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VL2p,11,0,11
lLN2T_a(Tortuous)_R,5813056598,DM2,49,5,44
lLN2T_a(Tortuous)_R,5813056598,,0,0,0
lLN2T_a(Tortuous)_R,5813056598,DP1l,8,0,8
lLN2T_a(Tortuous)_R,5813056598,DC3,5,5,0
lLN2T_a(Tortuous)_R,5813056598,VC2,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VL2a,13,3,10
lLN2T_a(Tortuous)_R,5813056598,DA2,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VM7d,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VM7v,1,0,1
lLN2T_a(Tortuous)_R,5813056598,DA4l,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VC3,3,1,2
lLN2T_a(Tortuous)_R,5813056598,VC1,27,3,24
lLN2T_a(Tortuous)_R,5813056598,VP4,3,3,0
lLN2T_a(Tortuous)_R,5813056598,VP1d,3,3,0
lLN2T_a(Tortuous)_R,5813056598,DM5,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VM5d,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VM5v,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA1d,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VP1l,26,26,0
lLN2T_a(Tortuous)_R,5813056598,VP1m,21,21,0
lLN2T_a(Tortuous)_R,5813056598,VA7m,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VC4,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA1v,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VM6,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA2,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA3,3,0,3
lLN2T_a(Tortuous)_R,5813056598,VP2,15,15,0
lLN2T_a(Tortuous)_R,5813056598,VP3,22,22,0
lLN2T_a(Tortuous)_R,5813056598,VC5,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA7l,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VP5,5,5,0
lLN2T_a(Tortuous)_R,5813056598,VA4,0,0,0
lLN2T_a(Tortuous)_R,5813056598,VA5,0,0,0
lLN2T_a(Tortuous)_R,5813056598,V,32,32,0
lLN2T_a(Tortuous)_R,5813056598,VL1,3,3,0
