LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2S(Star)_R,5813069085,DM3,18,8,10
lLN2S(Star)_R,5813069085,DL5,70,8,62
lLN2S(Star)_R,5813069085,D,1,1,0
lLN2S(Star)_R,5813069085,DA1,53,10,43
lLN2S(Star)_R,5813069085,DC1,36,15,21
lLN2S(Star)_R,5813069085,DC2,23,0,23
lLN2S(Star)_R,5813069085,VA6,0,0,0
lLN2S(Star)_R,5813069085,DL3,9,2,7
lLN2S(Star)_R,5813069085,DP1m,84,10,74
lLN2S(Star)_R,5813069085,DL2d,40,8,32
lLN2S(Star)_R,5813069085,DM4,19,7,12
lLN2S(Star)_R,5813069085,DC4,59,18,41
lLN2S(Star)_R,5813069085,DM1,41,15,26
lLN2S(Star)_R,5813069085,DL1,86,20,66
lLN2S(Star)_R,5813069085,VM7v,19,2,17
lLN2S(Star)_R,5813069085,DM6,20,7,13
lLN2S(Star)_R,5813069085,DA2,0,0,0
lLN2S(Star)_R,5813069085,DL2v,30,9,21
lLN2S(Star)_R,5813069085,DA4m,0,0,0
lLN2S(Star)_R,5813069085,DL4,6,5,1
lLN2S(Star)_R,5813069085,DA3,0,0,0
lLN2S(Star)_R,5813069085,VP1d,88,88,0
lLN2S(Star)_R,5813069085,DP1l,83,16,67
lLN2S(Star)_R,5813069085,VL2p,85,29,56
lLN2S(Star)_R,5813069085,DM2,15,2,13
lLN2S(Star)_R,5813069085,VL2a,106,14,92
lLN2S(Star)_R,5813069085,VM7d,0,0,0
lLN2S(Star)_R,5813069085,VM6,2,0,2
lLN2S(Star)_R,5813069085,VC2,0,0,0
lLN2S(Star)_R,5813069085,VP4,50,33,17
lLN2S(Star)_R,5813069085,DC3,2,2,0
lLN2S(Star)_R,5813069085,VC3,7,3,4
lLN2S(Star)_R,5813069085,VC1,44,6,38
lLN2S(Star)_R,5813069085,VA1d,1,1,0
lLN2S(Star)_R,5813069085,VM5d,0,0,0
lLN2S(Star)_R,5813069085,VA1v,1,1,0
lLN2S(Star)_R,5813069085,VM5v,0,0,0
lLN2S(Star)_R,5813069085,VP1l,54,54,0
lLN2S(Star)_R,5813069085,VP1m,85,85,0
lLN2S(Star)_R,5813069085,VA7m,0,0,0
lLN2S(Star)_R,5813069085,VC4,0,0,0
lLN2S(Star)_R,5813069085,VA3,0,0,0
lLN2S(Star)_R,5813069085,,0,0,0
lLN2S(Star)_R,5813069085,VA7l,2,0,2
lLN2S(Star)_R,5813069085,VA2,1,1,0
lLN2S(Star)_R,5813069085,VP2,72,72,0
lLN2S(Star)_R,5813069085,VA4,0,0,0
lLN2S(Star)_R,5813069085,VP3,31,31,0
lLN2S(Star)_R,5813069085,VC5,0,0,0
lLN2S(Star)_R,5813069085,VM3,2,2,0
lLN2S(Star)_R,5813069085,VA5,0,0,0
lLN2S(Star)_R,5813069085,VL1,76,76,0
lLN2S(Star)_R,5813069085,VM1,0,0,0
lLN2S(Star)_R,5813069085,V,34,34,0
lLN2S(Star)_R,5813069085,VM4,1,1,0
