LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2R_a(Regional)_R,5813075196,DL5,132,11,121
lLN2R_a(Regional)_R,5813075196,D,0,0,0
lLN2R_a(Regional)_R,5813075196,DP1m,127,22,105
lLN2R_a(Regional)_R,5813075196,DL2d,60,7,53
lLN2R_a(Regional)_R,5813075196,DM3,8,5,3
lLN2R_a(Regional)_R,5813075196,DC1,24,4,20
lLN2R_a(Regional)_R,5813075196,DL1,51,7,44
lLN2R_a(Regional)_R,5813075196,DC4,7,3,4
lLN2R_a(Regional)_R,5813075196,DL2v,55,5,50
lLN2R_a(Regional)_R,5813075196,VP1d,224,224,0
lLN2R_a(Regional)_R,5813075196,DP1l,200,50,150
lLN2R_a(Regional)_R,5813075196,VL2p,155,53,102
lLN2R_a(Regional)_R,5813075196,DM4,3,0,3
lLN2R_a(Regional)_R,5813075196,VP4,180,106,74
lLN2R_a(Regional)_R,5813075196,VL2a,51,3,48
lLN2R_a(Regional)_R,5813075196,VM6,1,0,1
lLN2R_a(Regional)_R,5813075196,VC3,7,3,4
lLN2R_a(Regional)_R,5813075196,VP1l,27,27,0
lLN2R_a(Regional)_R,5813075196,VP1m,3,3,0
lLN2R_a(Regional)_R,5813075196,VC4,0,0,0
lLN2R_a(Regional)_R,5813075196,VA7m,0,0,0
lLN2R_a(Regional)_R,5813075196,VA7l,3,0,3
lLN2R_a(Regional)_R,5813075196,VP2,33,33,0
lLN2R_a(Regional)_R,5813075196,,0,0,0
lLN2R_a(Regional)_R,5813075196,VC1,1,1,0
lLN2R_a(Regional)_R,5813075196,VC5,2,2,0
lLN2R_a(Regional)_R,5813075196,VL1,229,229,0
lLN2R_a(Regional)_R,5813075196,VA5,0,0,0
lLN2R_a(Regional)_R,5813075196,VP3,1,1,0
