glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,61,7089,0.00860488080124136
DA1,269,7089,0.037946113697277475
DA4l,4,7089,0.0005642544787699252
DA4m,9,7089,0.0012695725772323319
DC1,23,7089,0.0032444632529270703
DC2,66,7089,0.009310198899703767
DC3,32,7089,0.004514035830159402
DC4,17,7089,0.002398081534772182
DL1,68,7089,0.009592326139088728
DL2d,17,7089,0.002398081534772182
DL2v,18,7089,0.0025391451544646637
DL3,42,7089,0.005924672027084215
DL5,28,7089,0.003949781351389477
DM1,82,7089,0.011567216814783468
DM2,37,7089,0.005219353928621808
DM3,13,7089,0.001833827056002257
DM4,61,7089,0.00860488080124136
DP1l,32,7089,0.004514035830159402
DP1m,73,7089,0.010297644237551135
VA1d,80,7089,0.011285089575398505
VA1v,111,7089,0.015658061785865426
VA2,1,7089,0.0001410636196924813
VA3,7,7089,0.0009874453378473692
VA4,28,7089,0.003949781351389477
VA6,24,7089,0.0033855268726195515
VA7l,33,7089,0.004655099449851883
VC1,47,7089,0.006629990125546621
VC2,36,7089,0.0050782903089293275
VC3,10,7089,0.001410636196924813
VC4,14,7089,0.0019748906756947384
VC5,2,7089,0.0002821272393849626
VL2a,28,7089,0.003949781351389477
VL2p,56,7089,0.007899562702778954
VM1,5,7089,0.0007053180984624065
VM5d,44,7089,0.006206799266469177
VM5v,4,7089,0.0005642544787699252
VM6,8,7089,0.0011285089575398504
VM7d,11,7089,0.0015516998166172943
VM7v,10,7089,0.001410636196924813
VP1d,1,7089,0.0001410636196924813
VP2,3,7089,0.00042319085907744394
mPN,530,7089,0.0747637184370151
