glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA1,3,394,0.007614213197969543
DA2,3,394,0.007614213197969543
DA3,1,394,0.0025380710659898475
DA4l,1,394,0.0025380710659898475
DA4m,2,394,0.005076142131979695
DC1,19,394,0.048223350253807105
DC2,25,394,0.06345177664974619
DC3,8,394,0.02030456852791878
DC4,10,394,0.025380710659898477
DL1,4,394,0.01015228426395939
DL4,8,394,0.02030456852791878
DL5,2,394,0.005076142131979695
DM1,10,394,0.025380710659898477
DP1m,4,394,0.01015228426395939
VA2,6,394,0.015228426395939087
VA3,5,394,0.012690355329949238
VA4,1,394,0.0025380710659898475
VA6,3,394,0.007614213197969543
VA7m,10,394,0.025380710659898477
VC1,15,394,0.03807106598984772
VC2,17,394,0.04314720812182741
VC3,1,394,0.0025380710659898475
VC4,2,394,0.005076142131979695
VC5,12,394,0.030456852791878174
VL1,1,394,0.0025380710659898475
VM1,2,394,0.005076142131979695
VM5d,1,394,0.0025380710659898475
VM6,8,394,0.02030456852791878
VM7d,6,394,0.015228426395939087
VM7v,13,394,0.03299492385786802
VP1m,1,394,0.0025380710659898475
mPN,88,394,0.2233502538071066
