glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,20,4163,0.004804227720393947
DA1,2,4163,0.00048042277203939464
DA2,8,4163,0.0019216910881575786
DA3,1,4163,0.00024021138601969732
DA4l,9,4163,0.002161902474177276
DA4m,10,4163,0.0024021138601969735
DC1,46,4163,0.011049723756906077
DC2,32,4163,0.007686764352630314
DC3,18,4163,0.004323804948354552
DC4,22,4163,0.005284650492433342
DL1,36,4163,0.008647609896709103
DL2d,41,4163,0.00984866682680759
DL2v,21,4163,0.005044439106413644
DL4,8,4163,0.0019216910881575786
DL5,18,4163,0.004323804948354552
DM1,48,4163,0.011530146528945472
DM2,27,4163,0.006485707422531828
DM3,12,4163,0.002882536632236368
DM4,14,4163,0.0033629594042757626
DM6,16,4163,0.003843382176315157
DP1l,66,4163,0.015853951477300024
DP1m,73,4163,0.017535431179437906
V,61,4163,0.014652894547201537
VA1v,6,4163,0.001441268316118184
VA2,38,4163,0.009128032668748499
VA3,28,4163,0.006725918808551525
VA4,18,4163,0.004323804948354552
VA5,22,4163,0.005284650492433342
VA6,34,4163,0.00816718712466971
VA7l,22,4163,0.005284650492433342
VA7m,27,4163,0.006485707422531828
VC1,38,4163,0.009128032668748499
VC2,22,4163,0.005284650492433342
VC3,26,4163,0.006245496036512131
VC4,22,4163,0.005284650492433342
VC5,26,4163,0.006245496036512131
VL1,24,4163,0.005765073264472736
VL2a,34,4163,0.00816718712466971
VL2p,39,4163,0.009368244054768196
VM1,15,4163,0.00360317079029546
VM2,2,4163,0.00048042277203939464
VM3,18,4163,0.004323804948354552
VM4,22,4163,0.005284650492433342
VM5d,22,4163,0.005284650492433342
VM5v,21,4163,0.005044439106413644
VM6,37,4163,0.008887821282728801
VM7d,12,4163,0.002882536632236368
VM7v,19,4163,0.004564016334374249
VP1d,88,4163,0.021138601969733366
VP1l,50,4163,0.012010569300984866
VP1m,137,4163,0.03290895988469854
VP2,55,4163,0.013211626231083353
VP3,4,4163,0.0009608455440787893
VP5,21,4163,0.005044439106413644
mPN,454,4163,0.10905596925294259
