glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,37,4045,0.009147095179233622
DA1,35,4045,0.00865265760197775
DA2,7,4045,0.00173053152039555
DA3,7,4045,0.00173053152039555
DA4l,7,4045,0.00173053152039555
DA4m,2,4045,0.0004944375772558715
DC1,46,4045,0.011372064276885044
DC2,29,4045,0.007169344870210136
DC3,28,4045,0.0069221260815822
DC4,17,4045,0.004202719406674907
DL1,31,4045,0.007663782447466007
DL2d,39,4045,0.009641532756489494
DL2v,42,4045,0.0103831891223733
DL3,1,4045,0.00024721878862793575
DL4,9,4045,0.0022249690976514215
DL5,21,4045,0.00519159456118665
DM1,52,4045,0.012855377008652658
DM2,25,4045,0.006180469715698393
DM3,21,4045,0.00519159456118665
DM4,32,4045,0.007911001236093944
DM6,16,4045,0.003955500618046972
DP1l,63,4045,0.01557478368355995
DP1m,69,4045,0.017058096415327566
V,53,4045,0.013102595797280594
VA1d,14,4045,0.0034610630407911
VA1v,40,4045,0.009888751545117428
VA2,28,4045,0.0069221260815822
VA3,34,4045,0.008405438813349814
VA4,15,4045,0.003708281829419036
VA5,19,4045,0.004697156983930779
VA6,27,4045,0.006674907292954265
VA7l,17,4045,0.004202719406674907
VA7m,19,4045,0.004697156983930779
VC1,27,4045,0.006674907292954265
VC2,10,4045,0.002472187886279357
VC3,28,4045,0.0069221260815822
VC4,37,4045,0.009147095179233622
VC5,25,4045,0.006180469715698393
VL1,46,4045,0.011372064276885044
VL2a,40,4045,0.009888751545117428
VL2p,32,4045,0.007911001236093944
VM1,4,4045,0.000988875154511743
VM3,12,4045,0.0029666254635352285
VM4,24,4045,0.005933250927070457
VM5d,33,4045,0.008158220024721878
VM5v,21,4045,0.00519159456118665
VM6,45,4045,0.011124845488257108
VM7d,29,4045,0.007169344870210136
VM7v,15,4045,0.003708281829419036
VP1d,81,4045,0.020024721878862794
VP1l,27,4045,0.006674907292954265
VP1m,76,4045,0.018788627935723116
VP2,24,4045,0.005933250927070457
VP3,1,4045,0.00024721878862793575
VP4,1,4045,0.00024721878862793575
mPN,240,4045,0.059332509270704575
