glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,17,11694,0.0014537369591243372
DA1,31,11694,0.002650932101932615
DA2,11,11694,0.0009406533264922182
DA3,4,11694,0.0003420557550880794
DA4l,3,11694,0.0002565418163160595
DA4m,11,11694,0.0009406533264922182
DC1,34,11694,0.0029074739182486744
DC2,26,11694,0.002223362408072516
DC3,29,11694,0.0024799042243885752
DC4,19,11694,0.001624764836668377
DL1,49,11694,0.004190182999828972
DL2d,42,11694,0.0035915854284248334
DL2v,59,11694,0.00504532238754917
DL3,17,11694,0.0014537369591243372
DL4,15,11694,0.0012827090815802976
DL5,22,11694,0.0018813066529844364
DM1,48,11694,0.004104669061056952
DM2,36,11694,0.0030785017957927143
DM3,33,11694,0.0028219599794766545
DM4,32,11694,0.002736446040704635
DM5,1,11694,8.551393877201984e-05
DM6,15,11694,0.0012827090815802976
DP1l,89,11694,0.0076107405507097655
DP1m,106,11694,0.009064477509834103
V,57,11694,0.0048742945100051305
VA1d,23,11694,0.001966820591756456
VA1v,52,11694,0.004446724816145032
VA2,22,11694,0.0018813066529844364
VA3,33,11694,0.0028219599794766545
VA4,36,11694,0.0030785017957927143
VA5,42,11694,0.0035915854284248334
VA6,22,11694,0.0018813066529844364
VA7l,31,11694,0.002650932101932615
VA7m,18,11694,0.0015392508978963571
VC1,46,11694,0.003933641183512912
VC2,45,11694,0.0038481272447408927
VC3,47,11694,0.004019155122284932
VC4,27,11694,0.002308876346844536
VC5,19,11694,0.001624764836668377
VL1,28,11694,0.0023943902856165553
VL2a,111,11694,0.009492047203694202
VL2p,62,11694,0.00530186420386523
VM1,2,11694,0.0001710278775440397
VM3,12,11694,0.001026167265264238
VM4,12,11694,0.001026167265264238
VM5d,17,11694,0.0014537369591243372
VM5v,13,11694,0.001111681204036258
VM6,28,11694,0.0023943902856165553
VM7d,15,11694,0.0012827090815802976
VM7v,18,11694,0.0015392508978963571
VP1d,101,11694,0.008636907815974005
VP1l,38,11694,0.003249529673336754
VP1m,82,11694,0.007012142979305627
VP2,51,11694,0.004361210877373012
VP3,20,11694,0.0017102787754403968
VP4,5,11694,0.0004275696938600992
VP5,34,11694,0.0029074739182486744
mPN,338,11694,0.028903711304942705
