glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,22,15956,0.0013787916771120581
DA1,150,15956,0.00940085234394585
DA2,9,15956,0.000564051140636751
DA3,15,15956,0.0009400852343945851
DA4l,1,15956,6.2672348959639e-05
DA4m,5,15956,0.000313361744798195
DC1,22,15956,0.0013787916771120581
DC2,36,15956,0.002256204562547004
DC3,55,15956,0.0034469791927801453
DC4,31,15956,0.0019428428177488092
DL1,31,15956,0.0019428428177488092
DL2d,94,15956,0.005891200802206066
DL2v,92,15956,0.005765856104286789
DL3,33,15956,0.002068187515668087
DL4,15,15956,0.0009400852343945851
DL5,20,15956,0.00125344697919278
DM1,64,15956,0.004011030333416896
DM2,11,15956,0.0006893958385560291
DM3,55,15956,0.0034469791927801453
DM4,44,15956,0.0027575833542241163
DM6,6,15956,0.00037603409375783404
DP1l,88,15956,0.0055151667084482325
DP1m,52,15956,0.0032589621459012284
V,77,15956,0.0048257708698922035
VA1d,17,15956,0.0010654299323138632
VA1v,59,15956,0.0036976685886187014
VA2,22,15956,0.0013787916771120581
VA3,21,15956,0.0013161193281524192
VA4,18,15956,0.001128102281273502
VA5,1,15956,6.2672348959639e-05
VA6,11,15956,0.0006893958385560291
VA7l,21,15956,0.0013161193281524192
VA7m,17,15956,0.0010654299323138632
VC1,48,15956,0.0030082727500626723
VC2,35,15956,0.0021935322135873654
VC3,33,15956,0.002068187515668087
VC4,35,15956,0.0021935322135873654
VC5,17,15956,0.0010654299323138632
VL1,2,15956,0.000125344697919278
VL2a,144,15956,0.009024818250188017
VL2p,84,15956,0.005264477312609677
VM1,6,15956,0.00037603409375783404
VM2,1,15956,6.2672348959639e-05
VM3,1,15956,6.2672348959639e-05
VM4,1,15956,6.2672348959639e-05
VM5d,27,15956,0.001692153421910253
VM5v,13,15956,0.0008147405364753071
VM6,27,15956,0.001692153421910253
VM7d,27,15956,0.001692153421910253
VM7v,31,15956,0.0019428428177488092
VP1d,96,15956,0.006016545500125345
VP1l,28,15956,0.0017548257708698922
VP1m,175,15956,0.010967661067936826
VP2,78,15956,0.004888443218851842
VP3,10,15956,0.00062672348959639
VP5,26,15956,0.0016294810729506142
mPN,292,15956,0.01830032589621459
