glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,2,4614,0.00043346337234503684
DA1,1,4614,0.00021673168617251842
DA2,5,4614,0.001083658430862592
DA4m,17,4614,0.003684438664932813
DC1,23,4614,0.004984828781967924
DC2,39,4614,0.008452535760728219
DC3,32,4614,0.006935413957520589
DC4,6,4614,0.0013003901170351106
DL1,145,4614,0.03142609449501517
DL2d,33,4614,0.007152145643693108
DL2v,15,4614,0.003250975292587776
DL5,28,4614,0.006068487212830516
DM1,24,4614,0.005201560468140442
DM2,13,4614,0.0028175119202427396
DM3,1,4614,0.00021673168617251842
DM4,2,4614,0.00043346337234503684
DM6,67,4614,0.014521022973558735
DP1l,5,4614,0.001083658430862592
DP1m,51,4614,0.011053315994798439
V,2,4614,0.00043346337234503684
VA1d,28,4614,0.006068487212830516
VA1v,3,4614,0.0006501950585175553
VA2,2,4614,0.00043346337234503684
VA3,1,4614,0.00021673168617251842
VA4,34,4614,0.007368877329865626
VA5,25,4614,0.005418292154312961
VA6,25,4614,0.005418292154312961
VA7l,54,4614,0.011703511053315995
VA7m,36,4614,0.007802340702210663
VC3,34,4614,0.007368877329865626
VC4,77,4614,0.01668833983528392
VC5,4,4614,0.0008669267446900737
VL1,1,4614,0.00021673168617251842
VL2p,29,4614,0.006285218899003034
VM1,8,4614,0.0017338534893801473
VM3,8,4614,0.0017338534893801473
VM4,1,4614,0.00021673168617251842
VM5d,59,4614,0.012787169484178587
VM5v,2,4614,0.00043346337234503684
VM6,38,4614,0.0082358040745557
VM7d,14,4614,0.003034243606415258
VM7v,29,4614,0.006285218899003034
VP1d,8,4614,0.0017338534893801473
VP1l,11,4614,0.0023840485478977026
VP1m,71,4614,0.015387949718248807
VP2,3,4614,0.0006501950585175553
VP4,2,4614,0.00043346337234503684
VP5,4,4614,0.0008669267446900737
mPN,751,4614,0.16276549631556134
