glomerulus,weight,LN_total_connections,LN_to_PN_perct
DM4,1,2346,0.00042625745950554135
DP1l,30,2346,0.01278772378516624
DP1m,35,2346,0.014919011082693947
V,54,2346,0.023017902813299233
VA3,2,2346,0.0008525149190110827
VA5,27,2346,0.011508951406649617
VA7l,11,2346,0.004688832054560955
VA7m,1,2346,0.00042625745950554135
VC5,13,2346,0.005541346973572037
VL1,19,2346,0.008098891730605285
VL2p,55,2346,0.023444160272804774
VM1,12,2346,0.005115089514066497
VM4,7,2346,0.0029838022165387893
VM6,25,2346,0.010656436487638534
VP1d,69,2346,0.029411764705882353
VP1l,54,2346,0.023017902813299233
VP1m,14,2346,0.005967604433077579
VP2,45,2346,0.01918158567774936
VP3,31,2346,0.013213981244671782
VP4,7,2346,0.0029838022165387893
VP5,8,2346,0.0034100596760443308
mPN,96,2346,0.04092071611253197
