glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,18,5622,0.0032017075773745998
DA1,93,5622,0.016542155816435433
DA2,4,5622,0.000711490572749911
DA3,1,5622,0.00017787264318747776
DA4m,1,5622,0.00017787264318747776
DC1,60,5622,0.010672358591248666
DC2,45,5622,0.0080042689434365
DC3,7,5622,0.0012451085023123443
DC4,6,5622,0.0010672358591248667
DL1,23,5622,0.004091070793311989
DL2d,27,5622,0.0048025613660619
DL2v,53,5622,0.009427250088936322
DL3,21,5622,0.003735325506937033
DL4,23,5622,0.004091070793311989
DL5,23,5622,0.004091070793311989
DM1,74,5622,0.013162575595873355
DM2,34,5622,0.006047669868374244
DM3,24,5622,0.004268943436499467
DM4,36,5622,0.0064034151547491995
DM6,42,5622,0.007470651013874066
DP1l,49,5622,0.008715759516186411
DP1m,149,5622,0.02650302383493419
V,41,5622,0.007292778370686589
VA1d,21,5622,0.003735325506937033
VA1v,25,5622,0.004446816079686944
VA2,52,5622,0.009249377445748844
VA3,20,5622,0.0035574528637495554
VA4,11,5622,0.0019565990750622553
VA5,22,5622,0.003913198150124511
VA6,24,5622,0.004268943436499467
VA7l,1,5622,0.00017787264318747776
VA7m,15,5622,0.0026680896478121665
VC1,16,5622,0.002845962290999644
VC2,12,5622,0.0021344717182497333
VC3,23,5622,0.004091070793311989
VC4,34,5622,0.006047669868374244
VC5,12,5622,0.0021344717182497333
VL2a,14,5622,0.0024902170046246885
VL2p,22,5622,0.003913198150124511
VM1,19,5622,0.0033795802205620774
VM3,3,5622,0.0005336179295624333
VM4,6,5622,0.0010672358591248667
VM5d,35,5622,0.0062255425115617215
VM6,14,5622,0.0024902170046246885
VM7d,10,5622,0.0017787264318747777
VM7v,10,5622,0.0017787264318747777
VP1d,3,5622,0.0005336179295624333
VP1l,5,5622,0.0008893632159373888
VP1m,25,5622,0.004446816079686944
VP2,3,5622,0.0005336179295624333
mPN,445,5622,0.0791533262184276
