glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,33,3173,0.010400252127324299
DA1,681,3173,0.21462338480932872
DA3,1,3173,0.0003151591553734636
DA4l,2,3173,0.0006303183107469272
DA4m,1,3173,0.0003151591553734636
DC1,1,3173,0.0003151591553734636
DC3,57,3173,0.017964071856287425
DL1,13,3173,0.0040970690198550265
DL3,297,3173,0.0936022691459187
DL4,10,3173,0.003151591553734636
VA1d,486,3173,0.15316734951150332
VA1v,516,3173,0.16262212417270722
VA5,2,3173,0.0006303183107469272
VA6,5,3173,0.001575795776867318
VL2a,45,3173,0.014182161991805862
VL2p,1,3173,0.0003151591553734636
VP1d,4,3173,0.0012606366214938543
mPN,443,3173,0.13961550583044438
