glomerulus,weight,LN_total_connections,LN_to_PN_perct
DL1,80,788,0.10152284263959391
DL4,2,788,0.0025380710659898475
DL5,21,788,0.0266497461928934
DM4,9,788,0.011421319796954314
DP1l,19,788,0.024111675126903553
V,1,788,0.0012690355329949238
VA1d,1,788,0.0012690355329949238
VA3,1,788,0.0012690355329949238
VA7m,1,788,0.0012690355329949238
VL2p,2,788,0.0025380710659898475
VP1d,1,788,0.0012690355329949238
VP1l,11,788,0.013959390862944163
VP1m,45,788,0.05710659898477157
VP3,1,788,0.0012690355329949238
VP4,3,788,0.0038071065989847717
VP5,37,788,0.046954314720812185
mPN,143,788,0.1814720812182741
