glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,31,6036,0.00513585155732273
DA1,108,6036,0.017892644135188866
DA4m,2,6036,0.0003313452617627568
DC1,85,6036,0.014082173624917163
DC2,48,6036,0.007952286282306162
DC3,59,6036,0.009774685222001325
DC4,3,6036,0.0004970178926441351
DL1,67,6036,0.011100066269052352
DL2d,68,6036,0.01126573889993373
DL2v,90,6036,0.014910536779324055
DL3,25,6036,0.00414181577203446
DL4,35,6036,0.005798542080848244
DL5,32,6036,0.005301524188204109
DM1,105,6036,0.01739562624254473
DM2,29,6036,0.004804506295559973
DM3,50,6036,0.00828363154406892
DM4,58,6036,0.009609012591119947
DM6,17,6036,0.0028164347249834327
DP1l,72,6036,0.011928429423459244
DP1m,142,6036,0.02352551358515573
V,67,6036,0.011100066269052352
VA1d,27,6036,0.0044731610337972166
VA1v,31,6036,0.00513585155732273
VA2,6,6036,0.0009940357852882703
VA3,26,6036,0.004307488402915839
VA4,37,6036,0.006129887342611001
VA5,27,6036,0.0044731610337972166
VA6,19,6036,0.0031477799867461894
VA7l,36,6036,0.005964214711729622
VA7m,23,6036,0.003810470510271703
VC1,49,6036,0.008117958913187541
VC2,36,6036,0.005964214711729622
VC3,20,6036,0.0033134526176275677
VC4,58,6036,0.009609012591119947
VC5,33,6036,0.0054671968190854875
VL1,1,6036,0.0001656726308813784
VL2a,4,6036,0.0006626905235255136
VL2p,54,6036,0.008946322067594433
VM1,27,6036,0.0044731610337972166
VM3,15,6036,0.002485089463220676
VM4,9,6036,0.0014910536779324055
VM5d,3,6036,0.0004970178926441351
VM5v,26,6036,0.004307488402915839
VM6,52,6036,0.008614976805831677
VM7d,14,6036,0.0023194168323392977
VM7v,52,6036,0.008614976805831677
VP1d,55,6036,0.009111994698475812
VP1l,34,6036,0.005632869449966865
VP1m,94,6036,0.015573227302849569
VP2,56,6036,0.00927766732935719
VP3,4,6036,0.0006626905235255136
VP5,23,6036,0.003810470510271703
mPN,231,6036,0.03827037773359841
