glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,21,7078,0.00296693981350664
DA1,42,7078,0.00593387962701328
DA2,20,7078,0.0028256569652444193
DA3,4,7078,0.0005651313930488839
DA4l,6,7078,0.0008476970895733258
DA4m,13,7078,0.0018366770274088726
DC1,23,7078,0.0032495055100310822
DC2,51,7078,0.007205425261373269
DC3,38,7078,0.005368748233964397
DC4,3,7078,0.0004238485447866629
DL1,31,7078,0.00437976829612885
DL2d,21,7078,0.00296693981350664
DL2v,56,7078,0.007911839502684374
DL3,1,7078,0.00014128284826222097
DL4,6,7078,0.0008476970895733258
DM1,26,7078,0.003673354054817745
DM2,22,7078,0.0031082226617688614
DM3,38,7078,0.005368748233964397
DM4,59,7078,0.008335688047471037
DM5,2,7078,0.00028256569652444194
DM6,24,7078,0.003390788358293303
DP1l,100,7078,0.014128284826222097
DP1m,176,7078,0.02486578129415089
VA1d,15,7078,0.0021192427239333147
VA1v,15,7078,0.0021192427239333147
VA2,58,7078,0.008194405199208816
VA3,73,7078,0.010313647923142131
VA4,49,7078,0.006922859564848827
VA5,32,7078,0.004521051144391071
VA6,47,7078,0.006640293868324386
VA7l,38,7078,0.005368748233964397
VA7m,46,7078,0.0064990110200621645
VC1,42,7078,0.00593387962701328
VC2,25,7078,0.0035320712065555243
VC3,46,7078,0.0064990110200621645
VC4,84,7078,0.01186775925402656
VC5,9,7078,0.0012715456343599886
VL2a,1,7078,0.00014128284826222097
VL2p,42,7078,0.00593387962701328
VM1,3,7078,0.0004238485447866629
VM2,3,7078,0.0004238485447866629
VM3,22,7078,0.0031082226617688614
VM4,1,7078,0.00014128284826222097
VM5d,78,7078,0.011020062164453235
VM5v,37,7078,0.005227465385702176
VM6,15,7078,0.0021192427239333147
VM7d,12,7078,0.0016953941791466515
VM7v,7,7078,0.0009889799378355467
VP1d,14,7078,0.0019779598756710934
VP2,1,7078,0.00014128284826222097
mPN,236,7078,0.033342752189884146
