glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,2,355,0.005633802816901409
DA2,3,355,0.008450704225352112
DA3,1,355,0.0028169014084507044
DA4l,2,355,0.005633802816901409
DA4m,6,355,0.016901408450704224
DC1,11,355,0.030985915492957747
DC2,21,355,0.059154929577464786
DC4,16,355,0.04507042253521127
DL2v,1,355,0.0028169014084507044
DL4,11,355,0.030985915492957747
DL5,4,355,0.011267605633802818
DM1,19,355,0.05352112676056338
DM2,7,355,0.01971830985915493
DM3,6,355,0.016901408450704224
DM5,1,355,0.0028169014084507044
DP1m,10,355,0.028169014084507043
VA6,6,355,0.016901408450704224
VC3,1,355,0.0028169014084507044
VC4,7,355,0.01971830985915493
VM2,1,355,0.0028169014084507044
VM6,1,355,0.0028169014084507044
VM7d,5,355,0.014084507042253521
VM7v,5,355,0.014084507042253521
VP1d,3,355,0.008450704225352112
VP1l,3,355,0.008450704225352112
VP5,1,355,0.0028169014084507044
mPN,88,355,0.24788732394366197
