glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,4,5300,0.0007547169811320754
DA1,73,5300,0.013773584905660377
DA2,2,5300,0.0003773584905660377
DA3,5,5300,0.0009433962264150943
DA4l,5,5300,0.0009433962264150943
DA4m,1,5300,0.00018867924528301886
DC1,100,5300,0.018867924528301886
DC2,17,5300,0.0032075471698113206
DC3,31,5300,0.005849056603773585
DC4,27,5300,0.005094339622641509
DL1,36,5300,0.006792452830188679
DL2d,13,5300,0.0024528301886792454
DL2v,20,5300,0.0037735849056603774
DL3,23,5300,0.004339622641509434
DL4,1,5300,0.00018867924528301886
DL5,36,5300,0.006792452830188679
DM1,75,5300,0.014150943396226415
DM2,26,5300,0.004905660377358491
DM3,3,5300,0.0005660377358490566
DM4,18,5300,0.0033962264150943396
DM5,8,5300,0.0015094339622641509
DM6,18,5300,0.0033962264150943396
DP1l,39,5300,0.007358490566037735
DP1m,165,5300,0.031132075471698113
V,20,5300,0.0037735849056603774
VA1d,12,5300,0.0022641509433962265
VA1v,15,5300,0.002830188679245283
VA2,26,5300,0.004905660377358491
VA3,56,5300,0.010566037735849057
VA4,18,5300,0.0033962264150943396
VA5,1,5300,0.00018867924528301886
VA6,44,5300,0.00830188679245283
VA7l,16,5300,0.0030188679245283017
VA7m,13,5300,0.0024528301886792454
VC1,4,5300,0.0007547169811320754
VC2,14,5300,0.0026415094339622643
VC3,43,5300,0.008113207547169812
VC4,35,5300,0.006603773584905661
VC5,7,5300,0.0013207547169811322
VL1,5,5300,0.0009433962264150943
VL2a,26,5300,0.004905660377358491
VL2p,44,5300,0.00830188679245283
VM1,2,5300,0.0003773584905660377
VM3,6,5300,0.0011320754716981133
VM4,12,5300,0.0022641509433962265
VM5d,48,5300,0.009056603773584906
VM5v,21,5300,0.003962264150943396
VM6,10,5300,0.0018867924528301887
VM7d,29,5300,0.005471698113207547
VM7v,11,5300,0.0020754716981132076
VP1d,8,5300,0.0015094339622641509
VP1l,1,5300,0.00018867924528301886
VP1m,14,5300,0.0026415094339622643
VP2,5,5300,0.0009433962264150943
mPN,419,5300,0.07905660377358491
