glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,2,585,0.003418803418803419
DA2,4,585,0.006837606837606838
DA4m,1,585,0.0017094017094017094
DC1,12,585,0.020512820512820513
DC2,3,585,0.005128205128205128
DC4,27,585,0.046153846153846156
DL5,1,585,0.0017094017094017094
DM2,12,585,0.020512820512820513
DM3,4,585,0.006837606837606838
DM4,2,585,0.003418803418803419
DM5,1,585,0.0017094017094017094
DP1m,12,585,0.020512820512820513
V,163,585,0.27863247863247864
VC3,2,585,0.003418803418803419
VM5d,8,585,0.013675213675213675
VM7d,77,585,0.13162393162393163
VM7v,12,585,0.020512820512820513
VP1d,3,585,0.005128205128205128
VP1l,1,585,0.0017094017094017094
VP1m,20,585,0.03418803418803419
VP2,18,585,0.03076923076923077
VP4,5,585,0.008547008547008548
VP5,6,585,0.010256410256410256
mPN,90,585,0.15384615384615385
