glomerulus,weight,LN_total_connections,LN_to_PN_perct
DC1,1,630,0.0015873015873015873
DC2,3,630,0.004761904761904762
DL2v,2,630,0.0031746031746031746
DM2,1,630,0.0015873015873015873
DM4,2,630,0.0031746031746031746
DP1m,2,630,0.0031746031746031746
VA2,4,630,0.006349206349206349
VA3,2,630,0.0031746031746031746
VA4,5,630,0.007936507936507936
VC1,1,630,0.0015873015873015873
VC3,3,630,0.004761904761904762
VC5,1,630,0.0015873015873015873
VL2a,5,630,0.007936507936507936
VM5d,3,630,0.004761904761904762
mPN,100,630,0.15873015873015872
