glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA4m,1,1467,0.0006816632583503749
DC1,10,1467,0.006816632583503749
DC3,3,1467,0.002044989775051125
DL1,4,1467,0.0027266530334014998
DL5,3,1467,0.002044989775051125
DM1,11,1467,0.007498295841854124
DM2,7,1467,0.004771642808452625
DM4,5,1467,0.0034083162917518746
DP1l,1,1467,0.0006816632583503749
DP1m,33,1467,0.022494887525562373
V,20,1467,0.013633265167007498
VA1v,2,1467,0.0013633265167007499
VA3,8,1467,0.0054533060668029995
VA4,2,1467,0.0013633265167007499
VA5,25,1467,0.017041581458759374
VA6,2,1467,0.0013633265167007499
VA7l,3,1467,0.002044989775051125
VA7m,8,1467,0.0054533060668029995
VC1,2,1467,0.0013633265167007499
VC3,1,1467,0.0006816632583503749
VC5,3,1467,0.002044989775051125
VL2a,3,1467,0.002044989775051125
VL2p,6,1467,0.00408997955010225
VM1,2,1467,0.0013633265167007499
VM4,2,1467,0.0013633265167007499
VM5v,5,1467,0.0034083162917518746
VM6,3,1467,0.002044989775051125
VM7d,11,1467,0.007498295841854124
VM7v,6,1467,0.00408997955010225
VP1d,25,1467,0.017041581458759374
VP1l,3,1467,0.002044989775051125
VP1m,17,1467,0.011588275391956374
VP2,18,1467,0.012269938650306749
VP3,1,1467,0.0006816632583503749
VP5,2,1467,0.0013633265167007499
mPN,304,1467,0.20722563053851398
