glomerulus,weight,LN_total_connections,LN_to_PN_perct
DC3,1,850,0.001176470588235294
DL1,1,850,0.001176470588235294
DP1l,1,850,0.001176470588235294
VA5,3,850,0.0035294117647058825
VC5,2,850,0.002352941176470588
VL2p,1,850,0.001176470588235294
VM6,3,850,0.0035294117647058825
VP1d,27,850,0.03176470588235294
VP1l,3,850,0.0035294117647058825
VP1m,7,850,0.00823529411764706
VP2,1,850,0.001176470588235294
VP2andSEZ,1,850,0.001176470588235294
VP4,1,850,0.001176470588235294
VP5,5,850,0.0058823529411764705
mPN,247,850,0.29058823529411765
