glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA2,15,401,0.03740648379052369
DA3,3,401,0.007481296758104738
DA4l,4,401,0.00997506234413965
DA4m,6,401,0.014962593516209476
DC1,17,401,0.04239401496259352
DC2,23,401,0.057356608478802994
DC4,17,401,0.04239401496259352
DL4,1,401,0.0024937655860349127
DM1,9,401,0.022443890274314215
DM2,20,401,0.04987531172069826
DM3,8,401,0.0199501246882793
DM6,2,401,0.004987531172069825
V,2,401,0.004987531172069825
VA3,1,401,0.0024937655860349127
VA5,1,401,0.0024937655860349127
VA6,8,401,0.0199501246882793
VA7l,2,401,0.004987531172069825
VA7m,18,401,0.04488778054862843
VC1,10,401,0.02493765586034913
VC2,6,401,0.014962593516209476
VC4,20,401,0.04987531172069826
VC5,1,401,0.0024937655860349127
VM6,10,401,0.02493765586034913
VM7d,8,401,0.0199501246882793
VM7v,15,401,0.03740648379052369
VP1d,1,401,0.0024937655860349127
VP1l,1,401,0.0024937655860349127
VP1m,1,401,0.0024937655860349127
VP2,1,401,0.0024937655860349127
VP4,1,401,0.0024937655860349127
VP5,7,401,0.017456359102244388
mPN,74,401,0.18453865336658354
