glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA1,58,1768,0.032805429864253395
DA4m,5,1768,0.002828054298642534
DC1,6,1768,0.003393665158371041
DC2,3,1768,0.0016968325791855204
DC3,17,1768,0.009615384615384616
DC4,1,1768,0.0005656108597285068
DL1,58,1768,0.032805429864253395
DL2d,7,1768,0.003959276018099547
DL2v,7,1768,0.003959276018099547
DL4,2,1768,0.0011312217194570137
DL5,1,1768,0.0005656108597285068
DM1,21,1768,0.011877828054298642
DM2,10,1768,0.005656108597285068
DM3,24,1768,0.013574660633484163
DM4,2,1768,0.0011312217194570137
DP1l,1,1768,0.0005656108597285068
DP1m,20,1768,0.011312217194570135
V,9,1768,0.005090497737556561
VA1d,3,1768,0.0016968325791855204
VA2,4,1768,0.0022624434389140274
VA7m,12,1768,0.006787330316742082
VC4,24,1768,0.013574660633484163
VL2a,1,1768,0.0005656108597285068
VM3,1,1768,0.0005656108597285068
VM5d,32,1768,0.01809954751131222
VM7d,1,1768,0.0005656108597285068
VM7v,8,1768,0.004524886877828055
VP1d,4,1768,0.0022624434389140274
VP1l,20,1768,0.011312217194570135
VP1m,5,1768,0.002828054298642534
VP3,1,1768,0.0005656108597285068
VP5,5,1768,0.002828054298642534
mPN,615,1768,0.34785067873303166
