glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,2,438,0.0045662100456621
DL1,1,438,0.00228310502283105
DL4,3,438,0.00684931506849315
DM1,1,438,0.00228310502283105
DM4,1,438,0.00228310502283105
DP1m,1,438,0.00228310502283105
V,3,438,0.00684931506849315
VA1d,1,438,0.00228310502283105
VA1v,3,438,0.00684931506849315
VA4,1,438,0.00228310502283105
VA6,1,438,0.00228310502283105
VA7l,6,438,0.0136986301369863
VA7m,2,438,0.0045662100456621
VC1,3,438,0.00684931506849315
VC2,2,438,0.0045662100456621
VL1,7,438,0.01598173515981735
VL2p,9,438,0.02054794520547945
VM1,2,438,0.0045662100456621
VM4,2,438,0.0045662100456621
VP1d,4,438,0.0091324200913242
VP1m,7,438,0.01598173515981735
VP4,2,438,0.0045662100456621
VP5,1,438,0.00228310502283105
mPN,83,438,0.18949771689497716
