glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA1,59,1195,0.049372384937238493
DC3,14,1195,0.011715481171548118
DL2d,3,1195,0.002510460251046025
DL2v,6,1195,0.00502092050209205
DL3,2,1195,0.0016736401673640166
DM1,4,1195,0.0033472803347280333
DM4,4,1195,0.0033472803347280333
DP1l,27,1195,0.022594142259414227
DP1m,1,1195,0.0008368200836820083
VA1d,1,1195,0.0008368200836820083
VA1v,1,1195,0.0008368200836820083
VA2,2,1195,0.0016736401673640166
VA3,14,1195,0.011715481171548118
VA4,2,1195,0.0016736401673640166
VA5,1,1195,0.0008368200836820083
VA7l,1,1195,0.0008368200836820083
VA7m,2,1195,0.0016736401673640166
VC2,2,1195,0.0016736401673640166
VC3,3,1195,0.002510460251046025
VC5,1,1195,0.0008368200836820083
VL2a,1,1195,0.0008368200836820083
VL2p,1,1195,0.0008368200836820083
VM3,6,1195,0.00502092050209205
VP1d,2,1195,0.0016736401673640166
VP1l,1,1195,0.0008368200836820083
VP2,3,1195,0.002510460251046025
mPN,218,1195,0.18242677824267783
