glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,12,4024,0.002982107355864811
DA1,215,4024,0.053429423459244535
DA3,6,4024,0.0014910536779324055
DA4l,1,4024,0.00024850894632206757
DA4m,11,4024,0.0027335984095427437
DC1,24,4024,0.005964214711729622
DC2,5,4024,0.001242544731610338
DC3,24,4024,0.005964214711729622
DC4,49,4024,0.012176938369781311
DL1,76,4024,0.018886679920477135
DL2d,41,4024,0.010188866799204771
DL2v,47,4024,0.011679920477137177
DL5,39,4024,0.009691848906560637
DM3,5,4024,0.001242544731610338
DM4,20,4024,0.004970178926441352
DM6,1,4024,0.00024850894632206757
DP1l,5,4024,0.001242544731610338
DP1m,3,4024,0.0007455268389662028
V,10,4024,0.002485089463220676
VA1v,2,4024,0.0004970178926441351
VA2,27,4024,0.006709741550695825
VA4,3,4024,0.0007455268389662028
VA5,23,4024,0.005715705765407555
VA6,48,4024,0.011928429423459244
VC1,6,4024,0.0014910536779324055
VC2,43,4024,0.010685884691848906
VC3,32,4024,0.007952286282306162
VC5,1,4024,0.00024850894632206757
VL1,48,4024,0.011928429423459244
VL2a,1,4024,0.00024850894632206757
VL2p,59,4024,0.014662027833001988
VM5d,1,4024,0.00024850894632206757
VM5v,36,4024,0.008946322067594433
VM6,4,4024,0.0009940357852882703
VP1d,46,4024,0.01143141153081511
VP1l,27,4024,0.006709741550695825
VP1m,23,4024,0.005715705765407555
VP2,25,4024,0.00621272365805169
VP4,3,4024,0.0007455268389662028
VP5,9,4024,0.0022365805168986083
mPN,542,4024,0.13469184890656064
