glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,11,1911,0.0057561486132914706
DA1,42,1911,0.02197802197802198
DA2,12,1911,0.006279434850863423
DA3,34,1911,0.017791732077446363
DA4m,1,1911,0.0005232862375719519
DC2,49,1911,0.02564102564102564
DC3,36,1911,0.018838304552590265
DC4,4,1911,0.0020931449502878076
DL1,42,1911,0.02197802197802198
DL5,4,1911,0.0020931449502878076
DM1,24,1911,0.012558869701726845
DM2,79,1911,0.041339612768184195
DM4,1,1911,0.0005232862375719519
DM5,1,1911,0.0005232862375719519
DM6,104,1911,0.05442176870748299
DP1m,10,1911,0.0052328623757195184
V,62,1911,0.032443746729461015
VA1d,5,1911,0.0026164311878597592
VA1v,23,1911,0.012035583464154892
VA3,54,1911,0.0282574568288854
VA4,10,1911,0.0052328623757195184
VA5,1,1911,0.0005232862375719519
VA6,1,1911,0.0005232862375719519
VA7l,3,1911,0.0015698587127158557
VA7m,4,1911,0.0020931449502878076
VC1,28,1911,0.014652014652014652
VC3,111,1911,0.058084772370486655
VC4,3,1911,0.0015698587127158557
VC5,52,1911,0.027210884353741496
VL1,26,1911,0.013605442176870748
VM1,24,1911,0.012558869701726845
VM3,3,1911,0.0015698587127158557
VM4,23,1911,0.012035583464154892
VM5d,3,1911,0.0015698587127158557
VM5v,1,1911,0.0005232862375719519
VM6,34,1911,0.017791732077446363
VM7d,28,1911,0.014652014652014652
VM7v,56,1911,0.029304029304029304
VP1d,6,1911,0.0031397174254317113
VP1l,1,1911,0.0005232862375719519
VP1m,53,1911,0.02773417059131345
VP2,8,1911,0.004186289900575615
VP2andSEZ,1,1911,0.0005232862375719519
VP5,47,1911,0.024594453165881738
mPN,274,1911,0.1433804290947148
