glomerulus,weight,LN_total_connections,LN_to_PN_perct
DC4,1,2334,0.0004284490145672665
DL1,5,2334,0.0021422450728363325
DL2d,35,2334,0.014995715509854327
DL2v,13,2334,0.005569837189374464
DL5,13,2334,0.005569837189374464
DM4,1,2334,0.0004284490145672665
DP1l,39,2334,0.016709511568123392
DP1m,8,2334,0.003427592116538132
V,23,2334,0.00985432733504713
VA1v,6,2334,0.002570694087403599
VA5,21,2334,0.008997429305912597
VA7l,5,2334,0.0021422450728363325
VC5,1,2334,0.0004284490145672665
VL1,13,2334,0.005569837189374464
VL2a,34,2334,0.01456726649528706
VL2p,47,2334,0.020137103684661525
VM1,3,2334,0.0012853470437017994
VM6,3,2334,0.0012853470437017994
VP1d,53,2334,0.022707797772065125
VP1l,17,2334,0.00728363324764353
VP1m,7,2334,0.0029991431019708655
VP2,36,2334,0.015424164524421594
VP3,5,2334,0.0021422450728363325
VP4,6,2334,0.002570694087403599
VP5,5,2334,0.0021422450728363325
mPN,115,2334,0.049271636675235646
