glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,27,3505,0.007703281027104137
DA1,33,3505,0.0094151212553495
DA2,3,3505,0.0008559201141226819
DA3,8,3505,0.002282453637660485
DA4l,12,3505,0.0034236804564907277
DA4m,10,3505,0.0028530670470756064
DC1,40,3505,0.011412268188302425
DC2,38,3505,0.010841654778887305
DC3,24,3505,0.0068473609129814554
DC4,6,3505,0.0017118402282453639
DL1,14,3505,0.003994293865905849
DL2d,39,3505,0.011126961483594865
DL2v,22,3505,0.006276747503566334
DL3,3,3505,0.0008559201141226819
DL4,11,3505,0.003138373751783167
DL5,12,3505,0.0034236804564907277
DM1,31,3505,0.00884450784593438
DM2,17,3505,0.0048502139800285305
DM3,19,3505,0.005420827389443652
DM4,8,3505,0.002282453637660485
DM6,3,3505,0.0008559201141226819
DP1l,51,3505,0.014550641940085592
DP1m,30,3505,0.008559201141226819
V,49,3505,0.013980028530670471
VA1d,23,3505,0.006562054208273894
VA1v,37,3505,0.010556348074179744
VA2,21,3505,0.005991440798858773
VA3,28,3505,0.007988587731811698
VA4,20,3505,0.005706134094151213
VA5,17,3505,0.0048502139800285305
VA6,31,3505,0.00884450784593438
VA7l,19,3505,0.005420827389443652
VA7m,19,3505,0.005420827389443652
VC1,27,3505,0.007703281027104137
VC2,22,3505,0.006276747503566334
VC3,24,3505,0.0068473609129814554
VC4,14,3505,0.003994293865905849
VC5,17,3505,0.0048502139800285305
VL1,47,3505,0.013409415121255349
VL2a,43,3505,0.012268188302425107
VL2p,52,3505,0.014835948644793153
VM1,1,3505,0.0002853067047075606
VM3,7,3505,0.0019971469329529245
VM4,25,3505,0.007132667617689016
VM5d,30,3505,0.008559201141226819
VM5v,9,3505,0.0025677603423680455
VM6,43,3505,0.012268188302425107
VM7d,24,3505,0.0068473609129814554
VM7v,7,3505,0.0019971469329529245
VP1d,88,3505,0.025106990014265335
VP1l,29,3505,0.008273894436519259
VP1m,65,3505,0.018544935805991442
VP2,23,3505,0.006562054208273894
VP3,1,3505,0.0002853067047075606
VP4,1,3505,0.0002853067047075606
mPN,226,3505,0.0644793152639087
