glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,39,4276,0.00912067352666043
DA1,68,4276,0.015902712815715623
DA2,17,4276,0.003975678203928906
DA3,8,4276,0.0018709073900841909
DA4l,3,4276,0.0007015902712815715
DA4m,13,4276,0.00304022450888681
DC1,30,4276,0.007015902712815715
DC2,32,4276,0.007483629560336763
DC3,8,4276,0.0018709073900841909
DC4,4,4276,0.0009354536950420954
DL1,45,4276,0.010523854069223574
DL2d,49,4276,0.011459307764265668
DL2v,35,4276,0.008185219831618335
DL3,16,4276,0.0037418147801683817
DL4,14,4276,0.003274087932647334
DL5,30,4276,0.007015902712815715
DM1,35,4276,0.008185219831618335
DM2,29,4276,0.006782039289055191
DM3,23,4276,0.005378858746492049
DM4,43,4276,0.010056127221702526
DM5,11,4276,0.0025724976613657625
DM6,26,4276,0.00608044901777362
DP1l,64,4276,0.014967259120673527
DP1m,42,4276,0.009822263797942002
V,39,4276,0.00912067352666043
VA1d,38,4276,0.008886810102899906
VA1v,46,4276,0.010757717492984098
VA2,16,4276,0.0037418147801683817
VA3,15,4276,0.0035079513564078577
VA4,22,4276,0.005144995322731525
VA5,34,4276,0.007951356407857811
VA6,32,4276,0.007483629560336763
VA7l,17,4276,0.003975678203928906
VA7m,25,4276,0.005846585594013096
VC1,47,4276,0.010991580916744622
VC2,31,4276,0.007249766136576239
VC3,46,4276,0.010757717492984098
VC4,16,4276,0.0037418147801683817
VC5,36,4276,0.00841908325537886
VL1,72,4276,0.01683816651075772
VL2a,37,4276,0.008652946679139382
VL2p,54,4276,0.012628624883068288
VM1,11,4276,0.0025724976613657625
VM3,1,4276,0.00023386342376052386
VM4,15,4276,0.0035079513564078577
VM5d,39,4276,0.00912067352666043
VM5v,39,4276,0.00912067352666043
VM6,43,4276,0.010056127221702526
VM7d,27,4276,0.006314312441534144
VM7v,6,4276,0.001403180542563143
VP1d,77,4276,0.018007483629560336
VP1l,56,4276,0.013096351730589336
VP1m,36,4276,0.00841908325537886
VP2,60,4276,0.01403180542563143
VP3,5,4276,0.0011693171188026192
VP4,9,4276,0.002104770813844715
VP5,5,4276,0.0011693171188026192
mPN,366,4276,0.08559401309635173
