glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,34,4935,0.006889564336372847
DA1,35,4935,0.0070921985815602835
DA2,6,4935,0.0012158054711246201
DA3,1,4935,0.00020263424518743666
DA4l,12,4935,0.0024316109422492403
DA4m,8,4935,0.0016210739614994933
DC1,44,4935,0.008915906788247214
DC2,39,4935,0.007902735562310031
DC3,30,4935,0.0060790273556231
DC4,11,4935,0.0022289766970618034
DL1,44,4935,0.008915906788247214
DL2d,71,4935,0.014387031408308004
DL2v,60,4935,0.0121580547112462
DL3,12,4935,0.0024316109422492403
DL4,15,4935,0.00303951367781155
DL5,36,4935,0.00729483282674772
DM1,42,4935,0.00851063829787234
DM2,41,4935,0.008308004052684904
DM3,24,4935,0.004863221884498481
DM4,39,4935,0.007902735562310031
DM5,2,4935,0.0004052684903748733
DM6,20,4935,0.004052684903748734
DP1l,113,4935,0.022897669706180346
DP1m,94,4935,0.01904761904761905
V,61,4935,0.012360688956433637
VA1d,39,4935,0.007902735562310031
VA1v,47,4935,0.009523809523809525
VA2,35,4935,0.0070921985815602835
VA3,38,4935,0.007700101317122594
VA4,20,4935,0.004052684903748734
VA5,32,4935,0.006484295845997973
VA6,30,4935,0.0060790273556231
VA7l,30,4935,0.0060790273556231
VA7m,27,4935,0.00547112462006079
VC1,22,4935,0.004457953394123607
VC2,25,4935,0.005065856129685917
VC3,36,4935,0.00729483282674772
VC4,35,4935,0.0070921985815602835
VC5,30,4935,0.0060790273556231
VL1,57,4935,0.011550151975683891
VL2a,35,4935,0.0070921985815602835
VL2p,63,4935,0.01276595744680851
VM1,11,4935,0.0022289766970618034
VM2,4,4935,0.0008105369807497467
VM3,9,4935,0.00182370820668693
VM4,27,4935,0.00547112462006079
VM5d,38,4935,0.007700101317122594
VM5v,35,4935,0.0070921985815602835
VM6,50,4935,0.010131712259371834
VM7d,21,4935,0.00425531914893617
VM7v,14,4935,0.0028368794326241137
VP1d,101,4935,0.020466058763931105
VP1l,36,4935,0.00729483282674772
VP1m,73,4935,0.014792299898682878
VP2,40,4935,0.008105369807497468
VP2andSEZ,1,4935,0.00020263424518743666
VP3,1,4935,0.00020263424518743666
VP4,3,4935,0.0006079027355623101
mPN,326,4935,0.06605876393110435
