glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,24,4552,0.005272407732864675
DA1,20,4552,0.004393673110720563
DA2,8,4552,0.0017574692442882249
DA3,9,4552,0.001977152899824253
DA4l,1,4552,0.0002196836555360281
DA4m,15,4552,0.003295254833040422
DC1,33,4552,0.007249560632688928
DC2,16,4552,0.0035149384885764497
DC3,13,4552,0.0028558875219683658
DC4,20,4552,0.004393673110720563
DL1,36,4552,0.007908611599297012
DL2d,29,4552,0.0063708260105448155
DL2v,22,4552,0.0048330404217926184
DL3,1,4552,0.0002196836555360281
DL4,9,4552,0.001977152899824253
DL5,27,4552,0.005931458699472759
DM1,22,4552,0.0048330404217926184
DM2,7,4552,0.0015377855887521968
DM3,13,4552,0.0028558875219683658
DM4,17,4552,0.003734622144112478
DM6,9,4552,0.001977152899824253
DP1l,44,4552,0.009666080843585237
DP1m,48,4552,0.01054481546572935
V,45,4552,0.009885764499121265
VA1d,14,4552,0.0030755711775043936
VA1v,16,4552,0.0035149384885764497
VA2,14,4552,0.0030755711775043936
VA3,14,4552,0.0030755711775043936
VA4,17,4552,0.003734622144112478
VA5,40,4552,0.008787346221441126
VA6,21,4552,0.00461335676625659
VA7l,24,4552,0.005272407732864675
VA7m,33,4552,0.007249560632688928
VC1,42,4552,0.00922671353251318
VC2,26,4552,0.0057117750439367315
VC3,16,4552,0.0035149384885764497
VC4,26,4552,0.0057117750439367315
VC5,26,4552,0.0057117750439367315
VL1,19,4552,0.0041739894551845345
VL2a,36,4552,0.007908611599297012
VL2p,49,4552,0.010764499121265378
VM1,4,4552,0.0008787346221441124
VM3,17,4552,0.003734622144112478
VM4,7,4552,0.0015377855887521968
VM5d,13,4552,0.0028558875219683658
VM5v,20,4552,0.004393673110720563
VM6,27,4552,0.005931458699472759
VM7d,16,4552,0.0035149384885764497
VM7v,23,4552,0.005052724077328647
VP1d,97,4552,0.021309314586994726
VP1l,40,4552,0.008787346221441126
VP1m,44,4552,0.009666080843585237
VP2,57,4552,0.012521968365553603
VP3,14,4552,0.0030755711775043936
VP4,3,4552,0.0006590509666080844
VP5,10,4552,0.0021968365553602814
mPN,257,4552,0.05645869947275923
