glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,31,2195,0.014123006833712985
DA1,56,2195,0.0255125284738041
DA2,3,2195,0.001366742596810934
DA3,10,2195,0.004555808656036446
DA4l,6,2195,0.002733485193621868
DA4m,23,2195,0.010478359908883827
DC1,11,2195,0.005011389521640091
DC2,25,2195,0.011389521640091117
DC3,32,2195,0.01457858769931663
DC4,4,2195,0.0018223234624145787
DL1,41,2195,0.01867881548974943
DL2d,20,2195,0.009111617312072893
DL2v,34,2195,0.015489749430523917
DL3,6,2195,0.002733485193621868
DL4,9,2195,0.004100227790432802
DL5,21,2195,0.009567198177676537
DM1,6,2195,0.002733485193621868
DM2,3,2195,0.001366742596810934
DM3,20,2195,0.009111617312072893
DM6,2,2195,0.0009111617312072893
DP1l,9,2195,0.004100227790432802
DP1m,22,2195,0.010022779043280182
VA1d,26,2195,0.01184510250569476
VA1v,66,2195,0.030068337129840545
VA2,4,2195,0.0018223234624145787
VA3,22,2195,0.010022779043280182
VA4,9,2195,0.004100227790432802
VA5,21,2195,0.009567198177676537
VA6,22,2195,0.010022779043280182
VA7l,27,2195,0.012300683371298405
VA7m,29,2195,0.013211845102505695
VC1,29,2195,0.013211845102505695
VC2,14,2195,0.006378132118451025
VC3,7,2195,0.0031890660592255125
VC4,9,2195,0.004100227790432802
VC5,2,2195,0.0009111617312072893
VL1,10,2195,0.004555808656036446
VL2a,39,2195,0.01776765375854214
VL2p,19,2195,0.008656036446469248
VM5d,11,2195,0.005011389521640091
VM5v,7,2195,0.0031890660592255125
VM7v,4,2195,0.0018223234624145787
VP1d,12,2195,0.005466970387243736
VP5,1,2195,0.00045558086560364467
mPN,136,2195,0.06195899772209567
