glomerulus,weight,LN_total_connections,LN_to_PN_perct
D,17,6330,0.0026856240126382305
DA1,280,6330,0.044233807266982623
DA4m,15,6330,0.002369668246445498
DC1,24,6330,0.0037914691943127963
DC2,24,6330,0.0037914691943127963
DC3,43,6330,0.0067930489731437595
DC4,26,6330,0.004107424960505529
DL1,40,6330,0.00631911532385466
DL2d,11,6330,0.0017377567140600316
DL2v,32,6330,0.005055292259083728
DL3,1,6330,0.0001579778830963665
DL5,21,6330,0.0033175355450236967
DM1,45,6330,0.0071090047393364926
DM2,31,6330,0.004897314375987362
DM3,13,6330,0.0020537124802527647
DM4,15,6330,0.002369668246445498
DM6,34,6330,0.005371248025276461
DP1l,33,6330,0.005213270142180095
DP1m,60,6330,0.009478672985781991
VA1d,47,6330,0.007424960505529226
VA1v,41,6330,0.006477093206951027
VA3,18,6330,0.002843601895734597
VA4,39,6330,0.006161137440758294
VA5,56,6330,0.008846761453396525
VA6,19,6330,0.0030015797788309636
VA7l,24,6330,0.0037914691943127963
VA7m,5,6330,0.0007898894154818325
VC1,50,6330,0.007898894154818325
VC2,32,6330,0.005055292259083728
VC3,14,6330,0.0022116903633491313
VC5,2,6330,0.000315955766192733
VL1,1,6330,0.0001579778830963665
VL2a,96,6330,0.015165876777251185
VL2p,99,6330,0.015639810426540283
VM4,5,6330,0.0007898894154818325
VM5d,4,6330,0.000631911532385466
VM6,14,6330,0.0022116903633491313
VM7d,18,6330,0.002843601895734597
VM7v,19,6330,0.0030015797788309636
VP1d,7,6330,0.0011058451816745656
VP4,1,6330,0.0001579778830963665
mPN,517,6330,0.08167456556082149
