LN_instance,body_id,combined_LN_type,glomerulus,orn_total_inputs,n_ipsi_inputs,n_contra_inputs,pn_output_weight,pn_output_percent
l2LN18_R,5813054773,l2LN18,VL1,318.0,318.0,0.0,133.0,2.3166695697613657
lLN2F_a(Full)_R,1670287030,lLN2F,VL1,270.0,270.0,0.0,47.0,0.4029837949069708
lLN2F_a(Full)_R,5901218894,lLN2F,VL1,155.0,155.0,0.0,28.0,0.2394390285616555
lLN2P_a(Patchy)_R,1670916819,lLN2P,VL1,50.0,50.0,0.0,24.0,1.3043478260869563
lLN2P_a(Patchy)_R,2041621893,lLN2P,VL1,77.0,77.0,0.0,42.0,2.147239263803681
lLN2P_b(Patchy)_R,1946178096,lLN2P,DC3,25.0,25.0,0.0,24.0,0.5964214711729622
lLN2P_b(Patchy)_R,1946178096,lLN2P,VL1,107.0,107.0,0.0,48.0,1.1928429423459244
lLN2P_b(Patchy)_R,5813039309,lLN2P,VL1,80.0,80.0,0.0,30.0,1.2205044751830758
lLN2P_c(Patchy)_R,1762704980,lLN2P,VL1,33.0,33.0,0.0,80.0,3.638017280582083
lLN2R_a(Regional)_R,5813024339,lLN2R,VL1,334.0,334.0,0.0,19.0,0.8098891730605285
lLN2R_a(Regional)_R,5813034531,lLN2R,VL1,378.0,378.0,0.0,13.0,0.5569837189374465
lLN2R_a(Regional)_R,5813075196,lLN2R,VL1,229.0,229.0,0.0,12.0,0.433996383363472
lLN2R_b(Regional)_R,5813076969,lLN2R,VL1,64.0,64.0,0.0,10.0,0.4555808656036446
lLN2S(Star)_R,1640922754,lLN2S,VL1,162.0,162.0,0.0,15.0,0.4285714285714286
lLN2S(Star)_R,1670627928,lLN2S,VL1,87.0,87.0,0.0,25.0,0.557911180540058
lLN2S(Star)_R,1702306037,lLN2S,VL1,119.0,119.0,0.0,21.0,0.489624621123805
lLN2S(Star)_R,1732995501,lLN2S,VL1,96.0,96.0,0.0,30.0,0.6815084052703316
lLN2S(Star)_R,1762359683,lLN2S,VL1,170.0,170.0,0.0,15.0,0.4622496147919877
lLN2S(Star)_R,5813069085,lLN2S,VL1,76.0,76.0,0.0,19.0,0.4173989455184534
lLN2T_a(Tortuous)_R,1730327790,lLN2T,VL1,274.0,274.0,0.0,121.0,2.058873574953207
lLN2T_a(Tortuous)_R,1762354941,lLN2T,VL1,171.0,171.0,0.0,71.0,1.7067307692307692
lLN2T_a(Tortuous)_R,1916800213,lLN2T,VL1,95.0,95.0,0.0,19.0,0.5768063145112325
lLN2T_a(Tortuous)_R,5813032595,lLN2T,VL1,160.0,160.0,0.0,53.0,1.2929982922664065
lLN2T_a(Tortuous)_R,5813054726,lLN2T,VL1,76.0,76.0,0.0,25.0,0.4424778761061947
lLN2T_a(Tortuous)_R,5813055277,lLN2T,VL1,191.0,191.0,0.0,72.0,1.683816651075772
lLN2T_b(Tortuous)_R,1640572741,lLN2T,DC3,32.0,32.0,0.0,59.0,0.9774685222001324
lLN2T_b(Tortuous)_R,5813034493,lLN2T,DC3,54.0,54.0,0.0,98.0,1.6330611564739208
lLN2T_c(Tortuous)_R,1671292719,lLN2T,DC3,39.0,39.0,0.0,31.0,0.5849056603773585
lLN2T_d(Tortuous)_R,1669924220,lLN2T,VL1,85.0,85.0,0.0,9.0,0.1915301127899553
lLN2T_e(Tortuous)_R,1640922516,lLN2T,VL1,25.0,25.0,0.0,20.0,0.3604902667627974
lLN8_R,1885765762,lLN8,DL2d,34.0,34.0,0.0,66.0,9.455587392550145
v2LN30_R,1671620613,v2LN30,VL1,145.0,145.0,0.0,93.0,1.4973434229592657
v2LN31_R,1730979793,v2LN31,VL2p,64.0,64.0,0.0,1.0,0.1117318435754189
v2LN33_R,1728315957,v2LN33,VL1,347.0,347.0,0.0,17.0,4.9853372434017595
v2LN33_R,1913480167,v2LN33,VL1,215.0,215.0,0.0,2.0,0.4901960784313725
v2LN33_R,5813078133,v2LN33,VL1,212.0,212.0,0.0,2.0,0.5115089514066496
v2LN36_R,5813054716,v2LN36,DC3,52.0,52.0,0.0,57.0,1.7964071856287425
v2LN36_R,5813054716,v2LN36,VA1d,116.0,116.0,0.0,486.0,15.316734951150332
v2LN36_R,5813054716,v2LN36,VA1v,59.0,59.0,0.0,516.0,16.26221241727072
v2LN3a_R,1730651751,v2LN3a,DC2,25.0,25.0,0.0,3.0,0.4761904761904762
v2LN40_R,1947192569,v2LN40,VL1,895.0,895.0,0.0,60.0,10.416666666666668
v2LN40_R,1728294318,v2LN40,VL2p,42.0,42.0,0.0,11.0,4.247104247104247
v2LN42_R,1977881942,v2LN42,VL1,97.0,97.0,0.0,1.0,0.4347826086956521
v2LN44_R,1790364325,v2LN44,VL1,212.0,212.0,0.0,1.0,0.6578947368421052
v2LN44_R,5812995404,v2LN44,VL1,147.0,147.0,0.0,1.0,1.1494252873563218
