combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
il3LN6,DP1m,il3LN,2,1723.0,133.0,0.9888158611666563,1.9776317223333126,0.6088218224027858,0.049676313681578446,0,0
il3LN6,DC2,il3LN,2,401.0,90.0,0.6550834047008282,1.3101668094016563,0.8453865336658354,0.04303694980430088,0,1
il3LN6,VL2a,il3LN,2,663.0,124.0,0.9557829064320331,1.9115658128640662,0.7767722473604827,0.06416207528381951,0,2
il3LN6,DL1,il3LN,2,538.0,108.0,0.7955720731471694,1.5911441462943388,0.7174721189591078,0.046046754959879095,0,3
il3LN6,VC1,il3LN,2,387.0,97.0,0.7264442140182472,1.4528884280364944,0.8242894056847545,0.04674008686913615,0,4
il3LN6,DL5,il3LN,2,373.0,49.0,0.3633658448206587,0.7267316896413174,0.6890080428954424,0.01618589588586423,0,5
il3LN6,DM1,il3LN,2,1175.0,127.0,0.933811077705998,1.867622155411996,0.6476595744680851,0.05042692941232926,0,6
il3LN6,DM6,il3LN,1,278.0,34.0,0.537124802527646,0.537124802527646,0.697841726618705,0.013326443573246145,0,7
il3LN6,DM2,il3LN,2,274.0,68.0,0.5058334152304584,1.0116668304609169,0.5547445255474452,0.019569452241129104,0,8
il3LN6,DM3,il3LN,2,229.0,26.0,0.1943769768127511,0.3887539536255022,0.6244541484716157,0.006412985990627278,0,9
il3LN6,VL2p,il3LN,2,512.0,155.0,1.1769686564659618,2.3539373129319237,0.6953125,0.07233270266546535,0,10
il3LN6,DM4,il3LN,2,580.0,76.0,0.5487274523843428,1.0974549047686857,0.5206896551724138,0.02210573800103988,0,11
il3LN6,VM7v,il3LN,2,128.0,29.0,0.22061079878778883,0.44122159757557766,0.734375,0.008970992496060804,0,12
il3LN6,DC1,il3LN,2,483.0,47.0,0.3517966223619933,0.7035932447239867,0.474120082815735,0.010672864731747028,0,13
il3LN6,DC4,il3LN,2,625.0,43.0,0.3252753247638856,0.6505506495277712,0.7472,0.015320067107306672,0,15
il3LN6,DA1,il3LN,2,2260.0,549.0,4.108996048213005,8.21799209642601,0.6823008849557523,0.31567319603713984,0,16
il3LN6,VC3,il3LN,2,166.0,24.0,0.18111632801369723,0.36223265602739446,0.4457831325301205,0.004186930827607543,0,18
il3LN6,DP1l,il3LN,2,982.0,65.0,0.48636529861697486,0.9727305972339497,0.6069246435845214,0.020760843703938672,0,19
il3LN6,DL3,il3LN,1,160.0,42.0,0.5924672027084215,0.5924672027084215,0.5,0.011141938556857781,0,20
il3LN6,DL2v,il3LN,2,541.0,50.0,0.3797218706774196,0.7594437413548392,0.6746765249537893,0.01719434531618624,0,21
il3LN6,DL2d,il3LN,2,206.0,28.0,0.2067919124416107,0.4135838248832214,0.7766990291262136,0.00863160128038375,0,22
lLN2S,DP1m,lLN2S,6,548.0,288.0,1.1782326401257581,7.069395840754549,0.6423357664233577,0.17897713439493856,1,0
lLN2S,DC2,lLN2S,3,122.0,86.0,0.6535997592912762,1.9607992778738288,0.6885245901639344,0.04598723096429105,1,1
lLN2S,VL2a,lLN2S,6,487.0,176.0,0.7351528867017648,4.410917320210589,0.7905544147843943,0.12134060973625024,1,2
lLN2S,DL1,lLN2S,6,399.0,234.0,0.9730856234281559,5.838513740568935,0.6140350877192983,0.13450844026717285,1,3
lLN2S,VC1,lLN2S,3,119.0,104.0,0.7826267913520336,2.3478803740561007,0.7478991596638656,0.06376388395813853,1,4
lLN2S,DL5,lLN2S,6,436.0,166.0,0.7003868091258217,4.20232085475493,0.7935779816513762,0.11678387060521361,1,5
lLN2S,DM1,lLN2S,5,317.0,142.0,0.7257547531781241,3.6287737658906205,0.444794952681388,0.057673627599215654,1,6
lLN2S,DM6,lLN2S,4,183.0,69.0,0.4160604616017751,1.6642418464071005,0.5519125683060109,0.027787391059584648,1,7
lLN2S,DM2,lLN2S,2,63.0,48.0,0.5397999793362473,1.0795999586724947,0.6190476190476191,0.02171442911867159,1,8
lLN2S,DM3,lLN2S,2,58.0,39.0,0.43937596683903696,0.8787519336780739,0.4482758620689655,0.012113608419870503,1,9
lLN2S,VL2p,lLN2S,6,412.0,207.0,0.8391025034345013,5.034615020607008,0.35436893203883496,0.06659645411712473,1,10
lLN2S,DM4,lLN2S,4,138.0,110.0,0.7061237707769873,2.824495083107949,0.2608695652173913,0.028492303384590464,1,11
lLN2S,DC1,lLN2S,4,136.0,102.0,0.612826245757357,2.451304983029428,0.23529411764705882,0.01925239823608898,1,13
lLN2S,DC4,lLN2S,6,253.0,125.0,0.5072117915723472,3.0432707494340834,0.4782608695652174,0.04414319102766235,1,15
lLN2S,DA1,lLN2S,4,176.0,104.0,0.6190783644756054,2.4763134579024215,0.6931818181818182,0.0575922138838616,1,16
lLN2S,DP1l,lLN2S,5,406.0,214.0,1.0211033267329728,5.105516633664864,0.6059113300492611,0.11905713893938343,1,19
lLN2S,DL2v,lLN2S,5,221.0,116.0,0.5622679626712614,2.8113398133563074,0.6380090497737556,0.06082744053539783,1,21
lLN2S,DL2d,lLN2S,6,255.0,155.0,0.6346236404535867,3.8077418427215197,0.6862745098039216,0.0877969376951486,1,22
lLN2F,DP1m,lLN2F,4,3008.0,291.0,0.5604303372103393,2.241721348841357,0.4607712765957447,0.04715913456947004,2,0
lLN2F,DC2,lLN2F,4,765.0,156.0,0.2837677858892916,1.1350711435571663,0.7045751633986929,0.029272986127344046,2,1
lLN2F,VL2a,lLN2F,4,1610.0,347.0,0.6067638363768393,2.427055345507357,0.5080745341614907,0.058802424547057336,2,2
lLN2F,DL1,lLN2F,4,1021.0,140.0,0.2643520808153747,1.0574083232614988,0.49461312438785504,0.016067933393768153,2,3
lLN2F,VC1,lLN2F,4,577.0,181.0,0.33153453137210215,1.3261381254884086,0.75736568457539,0.0382974611125012,2,4
lLN2F,DL5,lLN2F,4,960.0,104.0,0.18519282759125516,0.7407713103650206,0.5791666666666667,0.013935165768332518,2,5
lLN2F,DM1,lLN2F,4,2286.0,231.0,0.4124931337875988,1.649972535150395,0.4881889763779528,0.02969254380646618,2,6
lLN2F,DM6,lLN2F,4,763.0,70.0,0.1264906013422343,0.5059624053689372,0.5937090432503277,0.008856502179542855,2,7
lLN2F,DM2,lLN2F,4,399.0,82.0,0.1589123286956478,0.6356493147825912,0.5087719298245614,0.011116292708017735,2,8
lLN2F,DM3,lLN2F,4,607.0,161.0,0.28833909233367216,1.1533563693346887,0.43986820428336076,0.01844048534316017,2,9
lLN2F,VL2p,lLN2F,4,828.0,250.0,0.4494893411267176,1.7979573645068705,0.3647342995169082,0.026083276763881457,2,10
lLN2F,DM4,lLN2F,4,1085.0,143.0,0.2554987693682706,1.0219950774730824,0.3271889400921659,0.011613980964700331,2,11
lLN2F,VM7v,lLN2F,4,289.0,86.0,0.14999035649239634,0.5999614259695853,0.5363321799307958,0.010331885841338496,2,12
lLN2F,DC1,lLN2F,4,948.0,105.0,0.19278505543116017,0.7711402217246407,0.2721518987341772,0.006314352063104057,2,13
lLN2F,DL4,lLN2F,3,417.0,43.0,0.11124767814803238,0.33374303444409714,0.5107913669064749,0.004200179148607804,2,14
lLN2F,DC4,lLN2F,4,1489.0,86.0,0.15180385490280612,0.6072154196112245,0.4761584956346541,0.008857279729085666,2,15
lLN2F,DA1,lLN2F,4,1624.0,327.0,0.5548235397876924,2.2192941591507696,0.6945812807881774,0.07078262342862388,2,16
lLN2F,VC3,lLN2F,4,402.0,128.0,0.24173238655560267,0.9669295462224107,0.38308457711442784,0.008323718476299497,2,18
lLN2F,DP1l,lLN2F,4,1064.0,327.0,0.6096553282431209,2.4386213129724834,0.4492481203007519,0.04923510082069613,2,19
lLN2F,DL3,lLN2F,3,159.0,56.0,0.1345457290848668,0.4036371872546004,0.2830188679245283,0.004088445108483661,2,20
lLN2F,DL2v,lLN2F,4,1018.0,263.0,0.48731195822319034,1.9492478328927614,0.48919449901768175,0.03931359740220451,2,21
lLN2F,DL2d,lLN2F,4,535.0,181.0,0.32079427748899075,1.283177109955963,0.4616822429906542,0.022482914776570637,2,22
l2LN18,DP1m,l2LN,1,199.0,112.0,1.9508796376937816,1.9508796376937816,0.6482412060301508,0.05978446421688297,3,0
l2LN18,DC2,l2LN,1,36.0,40.0,0.6967427277477791,0.6967427277477791,0.8333333333333334,0.02156170276202931,3,1
l2LN18,VL2a,l2LN,1,93.0,74.0,1.2889740463333914,1.2889740463333914,0.2903225806451613,0.016156829391390633,3,2
l2LN18,DL1,l2LN,1,34.0,77.0,1.3412297509144748,1.3412297509144748,0.5294117647058824,0.030935369088147046,3,3
l2LN18,VC1,l2LN,1,32.0,37.0,0.6444870231666957,0.6444870231666957,0.9375,0.02197853508369779,3,4
l2LN18,DL5,l2LN,1,51.0,31.0,0.5399756140045289,0.5399756140045289,0.8431372549019608,0.015778579117636932,3,5
l2LN18,DM1,l2LN,1,134.0,33.0,0.5748127503919178,0.5748127503919178,0.23880597014925373,0.0048405898317089,3,6
l2LN18,DM2,l2LN,1,26.0,35.0,0.6096498867793068,0.6096498867793068,0.6153846153846154,0.013444257939084733,3,8
l2LN18,VL2p,l2LN,1,68.0,40.0,0.6967427277477791,0.6967427277477791,0.23529411764705882,0.0060880101916318055,3,10
l2LN18,DM4,l2LN,1,65.0,54.0,0.9406026824595018,0.9406026824595018,0.26153846153846155,0.009858191052331834,3,11
l2LN18,DC1,l2LN,1,111.0,55.0,0.9580212506531963,0.9580212506531963,0.38738738738738737,0.014939100524893063,3,13
l2LN18,DC4,l2LN,1,144.0,23.0,0.40062706845497303,0.40062706845497303,0.5277777777777778,0.006719742610956533,3,15
l2LN18,DA1,l2LN,1,25.0,33.0,0.5748127503919178,0.5748127503919178,0.52,0.01054038435854613,3,16
l2LN18,VC3,l2LN,1,44.0,42.0,0.7315798641351681,0.7315798641351681,0.22727272727272727,0.006253677885509715,3,18
l2LN18,DP1l,l2LN,1,98.0,83.0,1.4457411600766417,1.4457411600766417,0.32653061224489793,0.020916944388071193,3,19
l2LN18,DL2v,l2LN,1,25.0,52.0,0.9057655460721129,0.9057655460721129,0.28,0.01006923014480385,3,21
l2LN18,DL2d,l2LN,1,53.0,125.0,2.17732102421181,2.17732102421181,0.5849056603773585,0.06159137481615844,3,22
lLN2T,DP1m,lLN2T,16,3254.0,1779.0,2.1281192664796196,34.04990826367391,0.41180086047940995,0.547830563125862,4,0
lLN2T,DC2,lLN2T,14,1039.0,603.0,0.8073638725310114,11.30309421543416,0.5861405197305101,0.24716547195127614,4,1
lLN2T,VL2a,lLN2T,13,1429.0,546.0,0.8485978045636683,11.031771459327688,0.44856543037088875,0.20133924725996288,4,2
lLN2T,DL1,lLN2T,13,1306.0,703.0,1.033871255758331,13.440326324858303,0.4119448698315467,0.24176827720966437,4,3
lLN2T,VC1,lLN2T,9,518.0,380.0,0.8027095263573525,7.224385737216172,0.6525096525096525,0.16807567903931275,4,4
lLN2T,DL5,lLN2T,15,1121.0,486.0,0.6513360421950511,9.770040632925767,0.655664585191793,0.22604489008199552,4,5
lLN2T,DM1,lLN2T,16,3381.0,830.0,1.007348417507995,16.11757468012792,0.3339248742975451,0.22355625209880045,4,6
lLN2T,DM6,lLN2T,11,1333.0,354.0,0.6144687465648608,6.759156212213469,0.34733683420855216,0.07554796023277466,4,7
lLN2T,DM2,lLN2T,10,953.0,425.0,0.7838591730925865,7.838591730925865,0.33683105981112277,0.1298535185975366,4,8
lLN2T,DM3,lLN2T,11,1125.0,350.0,0.5978348888989589,6.576183777888548,0.2693333333333333,0.06134829172021023,4,9
lLN2T,VL2p,lLN2T,12,1269.0,653.0,1.0936737705498145,13.124085246597774,0.24822695035460993,0.1261860417586639,4,10
lLN2T,DM4,lLN2T,14,1424.0,577.0,0.8052063080188033,11.272888312263246,0.15168539325842698,0.026792580841535133,4,11
lLN2T,VM7v,lLN2T,2,148.0,67.0,0.5557280104298942,1.1114560208597883,0.5540540540540541,0.02287122153653487,4,12
