LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
il3LN6,ORN_DA1,0.6824522941794318,2,il3LN6,ORN_DA1,DA1,1,0.6286510727268019
il3LN6,ORN_DC1,0.476390183286735,2,il3LN6,ORN_DC1,DC1,1,0.6286510727268019
il3LN6,ORN_DC2,0.8615499084249084,2,il3LN6,ORN_DC2,DC2,1,0.6286510727268019
il3LN6,ORN_DC4,0.7457750490537376,2,il3LN6,ORN_DC4,DC4,1,0.6286510727268019
il3LN6,ORN_DL1,0.7218465436693324,2,il3LN6,ORN_DL1,DL1,1,0.6286510727268019
il3LN6,ORN_DL2d,0.7899740708729472,2,il3LN6,ORN_DL2d,DL2d,1,0.6286510727268019
il3LN6,ORN_DL2v,0.6687678925346839,2,il3LN6,ORN_DL2v,DL2v,1,0.6286510727268019
il3LN6,ORN_DL3,0.5,1,il3LN6,ORN_DL3,DL3,1,0.6286510727268019
il3LN6,ORN_DL4,0.3333333333333333,1,il3LN6,ORN_DL4,DL4,1,0.6286510727268019
il3LN6,ORN_DL5,0.6740139893022983,2,il3LN6,ORN_DL5,DL5,1,0.6286510727268019
il3LN6,ORN_DM1,0.6552637460210079,2,il3LN6,ORN_DM1,DM1,1,0.6286510727268019
il3LN6,ORN_DM2,0.5493718257150494,2,il3LN6,ORN_DM2,DM2,1,0.6286510727268019
il3LN6,ORN_DM3,0.6254868359557564,2,il3LN6,ORN_DM3,DM3,1,0.6286510727268019
il3LN6,ORN_DM4,0.5124638194813633,2,il3LN6,ORN_DM4,DM4,1,0.6286510727268019
il3LN6,ORN_DM6,0.697841726618705,1,il3LN6,ORN_DM6,DM6,1,0.6286510727268019
il3LN6,ORN_DP1l,0.6076269354221757,2,il3LN6,ORN_DP1l,DP1l,1,0.6286510727268019
il3LN6,ORN_DP1m,0.5997913402016026,2,il3LN6,ORN_DP1m,DP1m,1,0.6286510727268019
il3LN6,ORN_VA3,0.25,1,il3LN6,ORN_VA3,VA3,1,0.6286510727268019
il3LN6,ORN_VC1,0.8248940621144665,2,il3LN6,ORN_VC1,VC1,1,0.6286510727268019
il3LN6,ORN_VC3l,0.4712498019958815,2,il3LN6,ORN_VC3l,VC3l,1,0.6286510727268019
il3LN6,ORN_VL2a,0.7782103825136613,2,il3LN6,ORN_VL2a,VL2a,1,0.6286510727268019
il3LN6,ORN_VL2p,0.692545145855842,2,il3LN6,ORN_VL2p,VL2p,1,0.6286510727268019
il3LN6,ORN_VM7v,0.740125786163522,2,il3LN6,ORN_VM7v,VM7v,1,0.6286510727268019
lLN2F_b,ORN_DA1,0.7350284376045501,2,lLN2F_b,ORN_DA1,DA1,2,0.5268592900825148
lLN2F_b,ORN_DC1,0.33188169116312827,2,lLN2F_b,ORN_DC1,DC1,2,0.5268592900825148
lLN2F_b,ORN_DC2,0.7147784856349928,2,lLN2F_b,ORN_DC2,DC2,2,0.5268592900825148
lLN2F_b,ORN_DC4,0.5265139463357726,2,lLN2F_b,ORN_DC4,DC4,2,0.5268592900825148
lLN2F_b,ORN_DL1,0.5715176715176715,2,lLN2F_b,ORN_DL1,DL1,2,0.5268592900825148
lLN2F_b,ORN_DL2d,0.5462458745874588,2,lLN2F_b,ORN_DL2d,DL2d,2,0.5268592900825148
lLN2F_b,ORN_DL2v,0.5080401105821923,2,lLN2F_b,ORN_DL2v,DL2v,2,0.5268592900825148
lLN2F_b,ORN_DL3,0.3333333333333333,1,lLN2F_b,ORN_DL3,DL3,2,0.5268592900825148
lLN2F_b,ORN_DL4,0.7257142857142858,1,lLN2F_b,ORN_DL4,DL4,2,0.5268592900825148
lLN2F_b,ORN_DL5,0.6045636320865679,2,lLN2F_b,ORN_DL5,DL5,2,0.5268592900825148
lLN2F_b,ORN_DM1,0.5116829767287203,2,lLN2F_b,ORN_DM1,DM1,2,0.5268592900825148
lLN2F_b,ORN_DM2,0.4623376623376623,2,lLN2F_b,ORN_DM2,DM2,2,0.5268592900825148
lLN2F_b,ORN_DM3,0.44715196697575554,2,lLN2F_b,ORN_DM3,DM3,2,0.5268592900825148
lLN2F_b,ORN_DM4,0.372890343302124,2,lLN2F_b,ORN_DM4,DM4,2,0.5268592900825148
lLN2F_b,ORN_DM6,0.6836533419889641,2,lLN2F_b,ORN_DM6,DM6,2,0.5268592900825148
lLN2F_b,ORN_DP1l,0.4356758194268998,2,lLN2F_b,ORN_DP1l,DP1l,2,0.5268592900825148
lLN2F_b,ORN_DP1m,0.44525335892514395,2,lLN2F_b,ORN_DP1m,DP1m,2,0.5268592900825148
lLN2F_b,ORN_VA3,0.42857142857142855,2,lLN2F_b,ORN_VA3,VA3,2,0.5268592900825148
lLN2F_b,ORN_VC1,0.7355678133816161,2,lLN2F_b,ORN_VC1,VC1,2,0.5268592900825148
lLN2F_b,ORN_VC3l,0.4638095238095238,2,lLN2F_b,ORN_VC3l,VC3l,2,0.5268592900825148
lLN2F_b,ORN_VL2a,0.5217981475566912,2,lLN2F_b,ORN_VL2a,VL2a,2,0.5268592900825148
lLN2F_b,ORN_VL2p,0.4391032728881026,2,lLN2F_b,ORN_VL2p,VL2p,2,0.5268592900825148
lLN2F_b,ORN_VM7v,0.5726505474452555,2,lLN2F_b,ORN_VM7v,VM7v,2,0.5268592900825148
lLN2S,ORN_DA1,0.6758310668840188,4,lLN2S,ORN_DA1,DA1,3,0.4909027744958594
lLN2S,ORN_DC1,0.34489177489177486,6,lLN2S,ORN_DC1,DC1,3,0.4909027744958594
lLN2S,ORN_DC2,0.7376448306595366,4,lLN2S,ORN_DC2,DC2,3,0.4909027744958594
lLN2S,ORN_DC4,0.4722367815419097,6,lLN2S,ORN_DC4,DC4,3,0.4909027744958594
lLN2S,ORN_DL1,0.6030574380883357,6,lLN2S,ORN_DL1,DL1,3,0.4909027744958594
lLN2S,ORN_DL2d,0.6895648949815616,6,lLN2S,ORN_DL2d,DL2d,3,0.4909027744958594
lLN2S,ORN_DL2v,0.6945196324143693,6,lLN2S,ORN_DL2v,DL2v,3,0.4909027744958594
lLN2S,ORN_DL3,0.37777777777777777,2,lLN2S,ORN_DL3,DL3,3,0.4909027744958594
lLN2S,ORN_DL4,-0.25396825396825395,3,lLN2S,ORN_DL4,DL4,3,0.4909027744958594
lLN2S,ORN_DL5,0.7978758462902098,6,lLN2S,ORN_DL5,DL5,3,0.4909027744958594
lLN2S,ORN_DM1,0.40542034920260805,6,lLN2S,ORN_DM1,DM1,3,0.4909027744958594
lLN2S,ORN_DM2,0.574020424020424,6,lLN2S,ORN_DM2,DM2,3,0.4909027744958594
lLN2S,ORN_DM3,0.28814582607686057,6,lLN2S,ORN_DM3,DM3,3,0.4909027744958594
lLN2S,ORN_DM4,0.28790406796561296,6,lLN2S,ORN_DM4,DM4,3,0.4909027744958594
lLN2S,ORN_DM6,0.5785760991406153,6,lLN2S,ORN_DM6,DM6,3,0.4909027744958594
lLN2S,ORN_DP1l,0.5966626504956817,6,lLN2S,ORN_DP1l,DP1l,3,0.4909027744958594
lLN2S,ORN_DP1m,0.628041039521275,6,lLN2S,ORN_DP1m,DP1m,3,0.4909027744958594
lLN2S,ORN_VA3,0.41666666666666663,2,lLN2S,ORN_VA3,VA3,3,0.4909027744958594
lLN2S,ORN_VC1,0.8062474430968516,6,lLN2S,ORN_VC1,VC1,3,0.4909027744958594
lLN2S,ORN_VC3l,-0.09765322396901344,5,lLN2S,ORN_VC3l,VC3l,3,0.4909027744958594
lLN2S,ORN_VL2a,0.7948162376726797,6,lLN2S,ORN_VL2a,VL2a,3,0.4909027744958594
lLN2S,ORN_VL2p,0.37458970711115863,6,lLN2S,ORN_VL2p,VL2p,3,0.4909027744958594
lLN2S,ORN_VM7v,0.4978947368421053,5,lLN2S,ORN_VM7v,VM7v,3,0.4909027744958594
lLN2F_a,ORN_DA1,0.6028542435127169,2,lLN2F_a,ORN_DA1,DA1,4,0.4325070822012987
lLN2F_a,ORN_DC1,0.18504147712068503,2,lLN2F_a,ORN_DC1,DC1,4,0.4325070822012987
lLN2F_a,ORN_DC2,0.6489523231096265,2,lLN2F_a,ORN_DC2,DC2,4,0.4325070822012987
lLN2F_a,ORN_DC4,0.39159982174688057,2,lLN2F_a,ORN_DC4,DC4,4,0.4325070822012987
lLN2F_a,ORN_DL1,0.36470926885434657,2,lLN2F_a,ORN_DL1,DL1,4,0.4325070822012987
lLN2F_a,ORN_DL2d,0.3424890876184392,2,lLN2F_a,ORN_DL2d,DL2d,4,0.4325070822012987
lLN2F_a,ORN_DL2v,0.48281964948631617,2,lLN2F_a,ORN_DL2v,DL2v,4,0.4325070822012987
lLN2F_a,ORN_DL3,0.24292682926829268,2,lLN2F_a,ORN_DL3,DL3,4,0.4325070822012987
lLN2F_a,ORN_DL4,0.35757575757575755,2,lLN2F_a,ORN_DL4,DL4,4,0.4325070822012987
lLN2F_a,ORN_DL5,0.5679088243639459,2,lLN2F_a,ORN_DL5,DL5,4,0.4325070822012987
lLN2F_a,ORN_DM1,0.3712272274086831,2,lLN2F_a,ORN_DM1,DM1,4,0.4325070822012987
lLN2F_a,ORN_DM2,0.5136415308829102,2,lLN2F_a,ORN_DM2,DM2,4,0.4325070822012987
lLN2F_a,ORN_DM3,0.4132857142857143,2,lLN2F_a,ORN_DM3,DM3,4,0.4325070822012987
lLN2F_a,ORN_DM4,0.25462962962962965,2,lLN2F_a,ORN_DM4,DM4,4,0.4325070822012987
lLN2F_a,ORN_DM6,0.4511689603714144,2,lLN2F_a,ORN_DM6,DM6,4,0.4325070822012987
lLN2F_a,ORN_DP1l,0.47339181286549703,2,lLN2F_a,ORN_DP1l,DP1l,4,0.4325070822012987
lLN2F_a,ORN_DP1m,0.48869568347913744,2,lLN2F_a,ORN_DP1m,DP1m,4,0.4325070822012987
lLN2F_a,ORN_VA3,0.44705882352941173,2,lLN2F_a,ORN_VA3,VA3,4,0.4325070822012987
lLN2F_a,ORN_VC1,0.7656597588104437,2,lLN2F_a,ORN_VC1,VC1,4,0.4325070822012987
