bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,574037266,AL(R),2,574037266,DA4m,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.0010649627263045794
1578826464,574037266,AL(R),5,574037266,DA4m,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.0026624068157614484
1610530558,574037266,AL(R),6,574037266,DA4m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.003194888178913738
1639886198,574037266,AL(R),7,574037266,DA4m,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1878,0.003727369542066028
1640555311,574037266,AL(R),8,574037266,DA4m,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1878,0.004259850905218318
1640572741,574037266,AL(R),2,574037266,DA4m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.0010649627263045794
1640887603,574037266,AL(R),5,574037266,DA4m,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.0026624068157614484
1640909284,574037266,AL(R),5,574037266,DA4m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1878,0.0026624068157614484
1640922516,574037266,AL(R),3,574037266,DA4m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1878,0.001597444089456869
1640922754,574037266,AL(R),8,574037266,DA4m,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1878,0.004259850905218318
1642623277,574037266,AL(R),4,574037266,DA4m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.002129925452609159
1667251683,574037266,AL(R),13,574037266,DA4m,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1878,0.006922257720979766
1670278227,574037266,AL(R),6,574037266,DA4m,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1878,0.003194888178913738
1670287030,574037266,AL(R),11,574037266,DA4m,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1878,0.005857294994675187
1670597533,574037266,AL(R),11,574037266,DA4m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1878,0.005857294994675187
1670627928,574037266,AL(R),17,574037266,DA4m,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1878,0.009052183173588925
1670916819,574037266,AL(R),8,574037266,DA4m,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1878,0.004259850905218318
1671257931,574037266,AL(R),17,574037266,DA4m,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1878,0.009052183173588925
1671292719,574037266,AL(R),1,574037266,DA4m,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.0005324813631522897
1671620613,574037266,AL(R),16,574037266,DA4m,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1878,0.008519701810436636
1672320134,574037266,AL(R),6,574037266,DA4m,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.003194888178913738
1699974843,574037266,AL(R),3,574037266,DA4m,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1878,0.001597444089456869
1702305987,574037266,AL(R),32,574037266,DA4m,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1878,0.01703940362087327
1702306037,574037266,AL(R),17,574037266,DA4m,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1878,0.009052183173588925
1702336197,574037266,AL(R),1,574037266,DA4m,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1878,0.0005324813631522897
1702651358,574037266,AL(R),8,574037266,DA4m,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.004259850905218318
1704347707,574037266,AL(R),1,574037266,DA4m,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.0005324813631522897
1730327790,574037266,AL(R),7,574037266,DA4m,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.003727369542066028
1732995501,574037266,AL(R),19,574037266,DA4m,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1878,0.010117145899893504
1761345315,574037266,AL(R),1,574037266,DA4m,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,1878,0.0005324813631522897
1762354941,574037266,AL(R),7,574037266,DA4m,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.003727369542066028
1762359683,574037266,AL(R),3,574037266,DA4m,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1878,0.001597444089456869
1762704980,574037266,AL(R),15,574037266,DA4m,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1878,0.007987220447284345
1794080892,574037266,AL(R),7,574037266,DA4m,1794080892,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,1878,0.003727369542066028
1824101645,574037266,AL(R),6,574037266,DA4m,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.003194888178913738
1824745150,574037266,AL(R),1,574037266,DA4m,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1878,0.0005324813631522897
1825789179,574037266,AL(R),4,574037266,DA4m,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,1878,0.002129925452609159
1826445251,574037266,AL(R),6,574037266,DA4m,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1878,0.003194888178913738
1826458709,574037266,AL(R),1,574037266,DA4m,1826458709,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,1878,0.0005324813631522897
1856466057,574037266,AL(R),4,574037266,DA4m,1856466057,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_sparse,1878,0.002129925452609159
1857799548,574037266,AL(R),5,574037266,DA4m,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1878,0.0026624068157614484
1858171556,574037266,AL(R),13,574037266,DA4m,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1878,0.006922257720979766
1883788812,574037266,AL(R),1,574037266,DA4m,1883788812,v2LN50_R,v2LN50,v2LN50,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1878,0.0005324813631522897
1887177026,574037266,AL(R),3,574037266,DA4m,1887177026,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1878,0.001597444089456869
1888199872,574037266,AL(R),6,574037266,DA4m,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1878,0.003194888178913738
1915159759,574037266,AL(R),1,574037266,DA4m,1915159759,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,1878,0.0005324813631522897
1915837804,574037266,AL(R),5,574037266,DA4m,1915837804,v2LN34c_R,v2LN34C,v2LN34C,v2LN34-35,ALLN_sparse,1878,0.0026624068157614484
1916800213,574037266,AL(R),6,574037266,DA4m,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.003194888178913738
1919208947,574037266,AL(R),6,574037266,DA4m,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1878,0.003194888178913738
1946178096,574037266,AL(R),11,574037266,DA4m,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1878,0.005857294994675187
2011308218,574037266,AL(R),1,574037266,DA4m,2011308218,lLN16a_R,lLN16A,lLN16A,lLN10-17,ALLN_sparse,1878,0.0005324813631522897
2040301572,574037266,AL(R),2,574037266,DA4m,2040301572,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1878,0.0010649627263045794
2041621893,574037266,AL(R),2,574037266,DA4m,2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1878,0.0010649627263045794
2071677193,574037266,AL(R),1,574037266,DA4m,2071677193,v2LN34c_R,v2LN34C,v2LN34C,v2LN34-35,ALLN_sparse,1878,0.0005324813631522897
2105086391,574037266,AL(R),1,574037266,DA4m,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1878,0.0005324813631522897
2135408892,574037266,AL(R),1,574037266,DA4m,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1878,0.0005324813631522897
5812990165,574037266,AL(R),6,574037266,DA4m,5812990165,v2LN34a_R,v2LN34A,v2LN34A,v2LN34-35,ALLN_regional,1878,0.003194888178913738
5812996027,574037266,AL(R),1,574037266,DA4m,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1878,0.0005324813631522897
5812998538,574037266,AL(R),3,574037266,DA4m,5812998538,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1878,0.001597444089456869
5813003258,574037266,AL(R),1,574037266,DA4m,5813003258,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,1878,0.0005324813631522897
5813018460,574037266,AL(R),9,574037266,DA4m,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,1878,0.004792332268370607
5813024698,574037266,AL(R),6,574037266,DA4m,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1878,0.003194888178913738
5813032595,574037266,AL(R),13,574037266,DA4m,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.006922257720979766
5813034306,574037266,AL(R),2,574037266,DA4m,5813034306,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_regional,1878,0.0010649627263045794
5813034455,574037266,AL(R),2,574037266,DA4m,5813034455,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1878,0.0010649627263045794
5813034493,574037266,AL(R),1,574037266,DA4m,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,1878,0.0005324813631522897
5813039309,574037266,AL(R),8,574037266,DA4m,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1878,0.004259850905218318
5813040492,574037266,AL(R),1,574037266,DA4m,5813040492,v2LN38_L,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1878,0.0005324813631522897
5813047691,574037266,AL(R),10,574037266,DA4m,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.005324813631522897
5813054622,574037266,AL(R),8,574037266,DA4m,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.004259850905218318
5813054716,574037266,AL(R),1,574037266,DA4m,5813054716,v2LN36_R,v2LN36,v2LN36,v2LN36,ALLN_sparse,1878,0.0005324813631522897
5813054725,574037266,AL(R),3,574037266,DA4m,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.001597444089456869
5813054726,574037266,AL(R),21,574037266,DA4m,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.011182108626198083
5813054773,574037266,AL(R),14,574037266,DA4m,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,1878,0.007454739084132056
5813054777,574037266,AL(R),5,574037266,DA4m,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.0026624068157614484
5813055277,574037266,AL(R),13,574037266,DA4m,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.006922257720979766
5813056598,574037266,AL(R),8,574037266,DA4m,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1878,0.004259850905218318
5813062199,574037266,AL(R),7,574037266,DA4m,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1878,0.003727369542066028
5813069055,574037266,AL(R),8,574037266,DA4m,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1878,0.004259850905218318
