bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1857825571,AL(R),10,1857825571,DC3,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1977,0.005058168942842691
1578826464,1857825571,AL(R),8,1857825571,DC3,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1977,0.004046535154274153
1610530558,1857825571,AL(R),8,1857825571,DC3,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1977,0.004046535154274153
1639886198,1857825571,AL(R),7,1857825571,DC3,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1977,0.0035407182599898838
1640555311,1857825571,AL(R),18,1857825571,DC3,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1977,0.009104704097116844
1640572741,1857825571,AL(R),23,1857825571,DC3,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.01163378856853819
1640887603,1857825571,AL(R),11,1857825571,DC3,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1977,0.00556398583712696
1640909284,1857825571,AL(R),22,1857825571,DC3,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1977,0.01112797167425392
1640922516,1857825571,AL(R),23,1857825571,DC3,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1977,0.01163378856853819
1640922754,1857825571,AL(R),3,1857825571,DC3,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1977,0.0015174506828528073
1642623277,1857825571,AL(R),3,1857825571,DC3,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1977,0.0015174506828528073
1667251683,1857825571,AL(R),11,1857825571,DC3,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1977,0.00556398583712696
1669924220,1857825571,AL(R),5,1857825571,DC3,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1977,0.0025290844714213456
1670287030,1857825571,AL(R),9,1857825571,DC3,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1977,0.004552352048558422
1670597533,1857825571,AL(R),6,1857825571,DC3,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1977,0.0030349013657056147
1670627928,1857825571,AL(R),9,1857825571,DC3,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1977,0.004552352048558422
1671257931,1857825571,AL(R),10,1857825571,DC3,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1977,0.005058168942842691
1671270875,1857825571,AL(R),7,1857825571,DC3,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1977,0.0035407182599898838
1671292719,1857825571,AL(R),14,1857825571,DC3,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.0070814365199797676
1671620613,1857825571,AL(R),55,1857825571,DC3,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1977,0.0278199291856348
1672320134,1857825571,AL(R),8,1857825571,DC3,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.004046535154274153
1699974843,1857825571,AL(R),14,1857825571,DC3,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1977,0.0070814365199797676
1702305987,1857825571,AL(R),7,1857825571,DC3,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1977,0.0035407182599898838
1702306037,1857825571,AL(R),8,1857825571,DC3,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1977,0.004046535154274153
1702323388,1857825571,AL(R),2,1857825571,DC3,1702323388,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,1977,0.0010116337885685382
1702651358,1857825571,AL(R),7,1857825571,DC3,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1977,0.0035407182599898838
1704347707,1857825571,AL(R),1,1857825571,DC3,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.0005058168942842691
1730327790,1857825571,AL(R),11,1857825571,DC3,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.00556398583712696
1732995501,1857825571,AL(R),2,1857825571,DC3,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1977,0.0010116337885685382
1761345315,1857825571,AL(R),1,1857825571,DC3,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,1977,0.0005058168942842691
1762354941,1857825571,AL(R),5,1857825571,DC3,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1977,0.0025290844714213456
1762704980,1857825571,AL(R),3,1857825571,DC3,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1977,0.0015174506828528073
1764388538,1857825571,AL(R),1,1857825571,DC3,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1977,0.0005058168942842691
1824101645,1857825571,AL(R),4,1857825571,DC3,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1977,0.0020232675771370764
1857485213,1857825571,AL(R),2,1857825571,DC3,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1977,0.0010116337885685382
1857799548,1857825571,AL(R),2,1857825571,DC3,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1977,0.0010116337885685382
1858171556,1857825571,AL(R),18,1857825571,DC3,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1977,0.009104704097116844
1887160257,1857825571,AL(R),3,1857825571,DC3,1887160257,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1977,0.0015174506828528073
1888199872,1857825571,AL(R),1,1857825571,DC3,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1977,0.0005058168942842691
1916485259,1857825571,AL(R),5,1857825571,DC3,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,1977,0.0025290844714213456
