bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,697848868,AL(R),1,697848868,DC4,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,241,0.004149377593360996
1640887603,697848868,AL(R),1,697848868,DC4,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,241,0.004149377593360996
1642623277,697848868,AL(R),1,697848868,DC4,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,241,0.004149377593360996
1670627928,697848868,AL(R),1,697848868,DC4,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,241,0.004149377593360996
1671257931,697848868,AL(R),1,697848868,DC4,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,241,0.004149377593360996
1671620613,697848868,AL(R),1,697848868,DC4,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,241,0.004149377593360996
1699974843,697848868,AL(R),1,697848868,DC4,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,241,0.004149377593360996
1732995501,697848868,AL(R),2,697848868,DC4,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,241,0.008298755186721992
1762354941,697848868,AL(R),1,697848868,DC4,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,241,0.004149377593360996
1762704980,697848868,AL(R),2,697848868,DC4,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,241,0.008298755186721992
1763360713,697848868,AL(R),2,697848868,DC4,1763360713,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,241,0.008298755186721992
1857485213,697848868,AL(R),2,697848868,DC4,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,241,0.008298755186721992
1858171556,697848868,AL(R),5,697848868,DC4,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,241,0.02074688796680498
1887168462,697848868,AL(R),1,697848868,DC4,1887168462,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,241,0.004149377593360996
1887518225,697848868,AL(R),1,697848868,DC4,1887518225,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,241,0.004149377593360996
1916800213,697848868,AL(R),1,697848868,DC4,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,241,0.004149377593360996
1918207300,697848868,AL(R),2,697848868,DC4,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,241,0.008298755186721992
1946178096,697848868,AL(R),5,697848868,DC4,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,241,0.02074688796680498
1947563799,697848868,AL(R),1,697848868,DC4,1947563799,v2LN43_R,v2LN43,v2LN43,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,241,0.004149377593360996
1977881942,697848868,AL(R),1,697848868,DC4,1977881942,v2LN42_R,v2LN42,v2LN42,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,241,0.004149377593360996
2041621893,697848868,AL(R),5,697848868,DC4,2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,241,0.02074688796680498
2105086391,697848868,AL(R),1,697848868,DC4,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,241,0.004149377593360996
5813002250,697848868,AL(R),1,697848868,DC4,5813002250,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_sparse,241,0.004149377593360996
5813018460,697848868,AL(R),1,697848868,DC4,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,241,0.004149377593360996
5813034306,697848868,AL(R),1,697848868,DC4,5813034306,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_regional,241,0.004149377593360996
5813054725,697848868,AL(R),1,697848868,DC4,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,241,0.004149377593360996
5813054726,697848868,AL(R),1,697848868,DC4,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,241,0.004149377593360996
5813062199,697848868,AL(R),1,697848868,DC4,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,241,0.004149377593360996
5813069085,697848868,AL(R),4,697848868,DC4,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,241,0.016597510373443983
5813076969,697848868,AL(R),1,697848868,DC4,5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,241,0.004149377593360996
5813078440,697848868,AL(R),2,697848868,DC4,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,241,0.008298755186721992
5813132949,697848868,AL(R),2,697848868,DC4,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,241,0.008298755186721992
5901206553,697848868,AL(R),2,697848868,DC4,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,241,0.008298755186721992
