bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,788648194,AL(R),10,788648194,DL2d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2074,0.0048216007714561235
1578826464,788648194,AL(R),11,788648194,DL2d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2074,0.005303760848601736
1610530558,788648194,AL(R),20,788648194,DL2d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2074,0.009643201542912247
1639886198,788648194,AL(R),20,788648194,DL2d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2074,0.009643201542912247
1640555311,788648194,AL(R),7,788648194,DL2d,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2074,0.0033751205400192863
1640572741,788648194,AL(R),14,788648194,DL2d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2074,0.006750241080038573
1640887603,788648194,AL(R),8,788648194,DL2d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2074,0.003857280617164899
1640909284,788648194,AL(R),20,788648194,DL2d,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2074,0.009643201542912247
1640922516,788648194,AL(R),9,788648194,DL2d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2074,0.004339440694310511
1640922754,788648194,AL(R),4,788648194,DL2d,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2074,0.0019286403085824494
1642623277,788648194,AL(R),15,788648194,DL2d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2074,0.007232401157184185
1667251683,788648194,AL(R),4,788648194,DL2d,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2074,0.0019286403085824494
1669924220,788648194,AL(R),7,788648194,DL2d,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2074,0.0033751205400192863
1670287030,788648194,AL(R),4,788648194,DL2d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2074,0.0019286403085824494
1670597533,788648194,AL(R),16,788648194,DL2d,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2074,0.007714561234329798
1670627928,788648194,AL(R),7,788648194,DL2d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2074,0.0033751205400192863
1671257931,788648194,AL(R),13,788648194,DL2d,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,2074,0.00626808100289296
