bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,823314446,AL(R),4,823314446,DL2d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,149,0.026845637583892617
1640572741,823314446,AL(R),1,823314446,DL2d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,149,0.006711409395973154
1671257931,823314446,AL(R),1,823314446,DL2d,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,149,0.006711409395973154
1699974843,823314446,AL(R),1,823314446,DL2d,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,149,0.006711409395973154
1701947337,823314446,AL(R),2,823314446,DL2d,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,149,0.013422818791946308
1702651358,823314446,AL(R),1,823314446,DL2d,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,149,0.006711409395973154
1730327790,823314446,AL(R),2,823314446,DL2d,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,149,0.013422818791946308
1824101645,823314446,AL(R),1,823314446,DL2d,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,149,0.006711409395973154
1857799548,823314446,AL(R),1,823314446,DL2d,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,149,0.006711409395973154
1885765762,823314446,AL(R),1,823314446,DL2d,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,149,0.006711409395973154
1946178096,823314446,AL(R),3,823314446,DL2d,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,149,0.020134228187919462
5813018460,823314446,AL(R),1,823314446,DL2d,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,149,0.006711409395973154
5813034531,823314446,AL(R),2,823314446,DL2d,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,149,0.013422818791946308
5813047691,823314446,AL(R),1,823314446,DL2d,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,149,0.006711409395973154
5813054622,823314446,AL(R),1,823314446,DL2d,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,149,0.006711409395973154
5813054773,823314446,AL(R),4,823314446,DL2d,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,149,0.026845637583892617
5813076969,823314446,AL(R),1,823314446,DL2d,5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,149,0.006711409395973154
5901206553,823314446,AL(R),2,823314446,DL2d,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,149,0.013422818791946308
