bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5813038793,AL(R),19,5813038793,DL2v,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.007664380798709157
1578826464,5813038793,AL(R),17,5813038793,DL2v,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.006857603872529245
1610530558,5813038793,AL(R),13,5813038793,DL2v,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.0052440500201694235
1639886198,5813038793,AL(R),23,5813038793,DL2v,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2479,0.00927793465106898
1640555311,5813038793,AL(R),24,5813038793,DL2v,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2479,0.009681323114158934
1640572741,5813038793,AL(R),30,5813038793,DL2v,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.012101653892698669
1640887603,5813038793,AL(R),10,5813038793,DL2v,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.004033884630899556
1640909284,5813038793,AL(R),23,5813038793,DL2v,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2479,0.00927793465106898
1640922516,5813038793,AL(R),4,5813038793,DL2v,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2479,0.0016135538523598225
1640922754,5813038793,AL(R),2,5813038793,DL2v,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.0008067769261799112
1642623277,5813038793,AL(R),12,5813038793,DL2v,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.004840661557079467
1667251683,5813038793,AL(R),12,5813038793,DL2v,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2479,0.004840661557079467
1669924220,5813038793,AL(R),16,5813038793,DL2v,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2479,0.00645421540943929
1670287030,5813038793,AL(R),23,5813038793,DL2v,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2479,0.00927793465106898
1670597533,5813038793,AL(R),16,5813038793,DL2v,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2479,0.00645421540943929
1670627928,5813038793,AL(R),8,5813038793,DL2v,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.003227107704719645
1671257931,5813038793,AL(R),3,5813038793,DL2v,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,2479,0.0012101653892698668
1671292719,5813038793,AL(R),6,5813038793,DL2v,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.0024203307785397336
1671620613,5813038793,AL(R),49,5813038793,DL2v,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,2479,0.019766034691407825
1672320134,5813038793,AL(R),9,5813038793,DL2v,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.003630496167809601
1699974843,5813038793,AL(R),26,5813038793,DL2v,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2479,0.010488100040338847
1701947337,5813038793,AL(R),13,5813038793,DL2v,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,2479,0.0052440500201694235
1702306037,5813038793,AL(R),8,5813038793,DL2v,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.003227107704719645
1702651358,5813038793,AL(R),14,5813038793,DL2v,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.005647438483259379
1704347707,5813038793,AL(R),11,5813038793,DL2v,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.004437273093989512
1730327790,5813038793,AL(R),11,5813038793,DL2v,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.004437273093989512
1730996778,5813038793,AL(R),1,5813038793,DL2v,1730996778,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,2479,0.0004033884630899556
1732995501,5813038793,AL(R),6,5813038793,DL2v,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.0024203307785397336
1762354941,5813038793,AL(R),10,5813038793,DL2v,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.004033884630899556
1762359683,5813038793,AL(R),10,5813038793,DL2v,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.004033884630899556
1762704980,5813038793,AL(R),27,5813038793,DL2v,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2479,0.010891488503428802
1795734228,5813038793,AL(R),18,5813038793,DL2v,1795734228,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,2479,0.007260992335619202
1824101645,5813038793,AL(R),23,5813038793,DL2v,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.00927793465106898
1824745150,5813038793,AL(R),7,5813038793,DL2v,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,2479,0.0028237192416296895
1857799548,5813038793,AL(R),3,5813038793,DL2v,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,2479,0.0012101653892698668
1885765762,5813038793,AL(R),23,5813038793,DL2v,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,2479,0.00927793465106898
1887160257,5813038793,AL(R),3,5813038793,DL2v,1887160257,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,2479,0.0012101653892698668
1887867926,5813038793,AL(R),2,5813038793,DL2v,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,2479,0.0008067769261799112
1916800213,5813038793,AL(R),9,5813038793,DL2v,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.003630496167809601
1918173122,5813038793,AL(R),1,5813038793,DL2v,1918173122,lLN17_R,lLN17,lLN17,lLN10-17,ALLN_sparse,2479,0.0004033884630899556
1920590638,5813038793,AL(R),1,5813038793,DL2v,1920590638,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,2479,0.0004033884630899556
1946178096,5813038793,AL(R),18,5813038793,DL2v,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,2479,0.007260992335619202
1979569670,5813038793,AL(R),3,5813038793,DL2v,1979569670,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,2479,0.0012101653892698668
2041621893,5813038793,AL(R),2,5813038793,DL2v,2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,2479,0.0008067769261799112
2135408892,5813038793,AL(R),5,5813038793,DL2v,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,2479,0.002016942315449778
5812996027,5813038793,AL(R),2,5813038793,DL2v,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,2479,0.0008067769261799112
5812998538,5813038793,AL(R),4,5813038793,DL2v,5812998538,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,2479,0.0016135538523598225
5813018460,5813038793,AL(R),6,5813038793,DL2v,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,2479,0.0024203307785397336
5813018847,5813038793,AL(R),3,5813038793,DL2v,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,2479,0.0012101653892698668
5813024698,5813038793,AL(R),15,5813038793,DL2v,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2479,0.0060508269463493344
5813032595,5813038793,AL(R),10,5813038793,DL2v,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.004033884630899556
5813034455,5813038793,AL(R),2,5813038793,DL2v,5813034455,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,2479,0.0008067769261799112
5813034531,5813038793,AL(R),6,5813038793,DL2v,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,2479,0.0024203307785397336
5813047691,5813038793,AL(R),7,5813038793,DL2v,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.0028237192416296895
5813054622,5813038793,AL(R),20,5813038793,DL2v,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.008067769261799113
5813054725,5813038793,AL(R),23,5813038793,DL2v,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.00927793465106898
5813054726,5813038793,AL(R),16,5813038793,DL2v,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.00645421540943929
5813054773,5813038793,AL(R),11,5813038793,DL2v,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,2479,0.004437273093989512
5813054777,5813038793,AL(R),10,5813038793,DL2v,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.004033884630899556
5813055277,5813038793,AL(R),11,5813038793,DL2v,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.004437273093989512
5813056598,5813038793,AL(R),5,5813038793,DL2v,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2479,0.002016942315449778
5813062199,5813038793,AL(R),12,5813038793,DL2v,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2479,0.004840661557079467
5813069055,5813038793,AL(R),20,5813038793,DL2v,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.008067769261799113
5813069085,5813038793,AL(R),6,5813038793,DL2v,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2479,0.0024203307785397336
5813075196,5813038793,AL(R),10,5813038793,DL2v,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,2479,0.004033884630899556
5813076969,5813038793,AL(R),11,5813038793,DL2v,5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,2479,0.004437273093989512
5813078440,5813038793,AL(R),13,5813038793,DL2v,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2479,0.0052440500201694235
5813130064,5813038793,AL(R),8,5813038793,DL2v,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2479,0.003227107704719645
5901206553,5813038793,AL(R),7,5813038793,DL2v,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,2479,0.0028237192416296895
5901218894,5813038793,AL(R),18,5813038793,DL2v,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2479,0.007260992335619202
