bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1670934213,AL(R),9,1670934213,DL4,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2492,0.0036115569823434992
1578826464,1670934213,AL(R),9,1670934213,DL4,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2492,0.0036115569823434992
1610530558,1670934213,AL(R),12,1670934213,DL4,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2492,0.004815409309791332
1640555311,1670934213,AL(R),1,1670934213,DL4,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2492,0.0004012841091492777
1640572741,1670934213,AL(R),35,1670934213,DL4,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2492,0.014044943820224719
1640887603,1670934213,AL(R),8,1670934213,DL4,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2492,0.0032102728731942215
1640909284,1670934213,AL(R),15,1670934213,DL4,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2492,0.006019261637239166
1640922516,1670934213,AL(R),23,1670934213,DL4,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2492,0.009229534510433388
1640922754,1670934213,AL(R),3,1670934213,DL4,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2492,0.001203852327447833
1642623277,1670934213,AL(R),18,1670934213,DL4,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2492,0.0072231139646869984
1667251683,1670934213,AL(R),6,1670934213,DL4,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2492,0.002407704654895666
1670278227,1670934213,AL(R),11,1670934213,DL4,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,2492,0.004414125200642055
1670287030,1670934213,AL(R),13,1670934213,DL4,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2492,0.00521669341894061
1670597533,1670934213,AL(R),12,1670934213,DL4,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2492,0.004815409309791332
1670627928,1670934213,AL(R),3,1670934213,DL4,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2492,0.001203852327447833
1670636531,1670934213,AL(R),1,1670934213,DL4,1670636531,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,2492,0.0004012841091492777
1671292719,1670934213,AL(R),1,1670934213,DL4,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,2492,0.0004012841091492777
1671620613,1670934213,AL(R),10,1670934213,DL4,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,2492,0.0040128410914927765
1672320134,1670934213,AL(R),8,1670934213,DL4,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2492,0.0032102728731942215
1699974843,1670934213,AL(R),34,1670934213,DL4,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2492,0.013643659711075442
