bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,542652506,AL(R),1,542652506,DM4,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
1640555311,542652506,AL(R),1,542652506,DM4,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
1640909284,542652506,AL(R),1,542652506,DM4,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,89,0.011235955056179775
1642623277,542652506,AL(R),1,542652506,DM4,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,89,0.011235955056179775
1671257931,542652506,AL(R),1,542652506,DM4,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
1671292719,542652506,AL(R),1,542652506,DM4,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,89,0.011235955056179775
1700644008,542652506,AL(R),1,542652506,DM4,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,89,0.011235955056179775
1701947337,542652506,AL(R),1,542652506,DM4,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
1702651358,542652506,AL(R),1,542652506,DM4,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,89,0.011235955056179775
1762354941,542652506,AL(R),1,542652506,DM4,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,89,0.011235955056179775
1916485259,542652506,AL(R),1,542652506,DM4,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,89,0.011235955056179775
2105086391,542652506,AL(R),1,542652506,DM4,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
2135408892,542652506,AL(R),2,542652506,DM4,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,89,0.02247191011235955
5813032595,542652506,AL(R),4,542652506,DM4,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,89,0.0449438202247191
5813034493,542652506,AL(R),1,542652506,DM4,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,89,0.011235955056179775
5813039309,542652506,AL(R),1,542652506,DM4,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
5813054622,542652506,AL(R),1,542652506,DM4,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,89,0.011235955056179775
5813054773,542652506,AL(R),2,542652506,DM4,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,89,0.02247191011235955
5813055277,542652506,AL(R),1,542652506,DM4,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,89,0.011235955056179775
5813132949,542652506,AL(R),1,542652506,DM4,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,89,0.011235955056179775
