bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,697485362,AL(R),2,697485362,DM5,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,332,0.006024096385542169
1640887603,697485362,AL(R),1,697485362,DM5,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.0030120481927710845
1640922516,697485362,AL(R),8,697485362,DM5,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,332,0.024096385542168676
1640922754,697485362,AL(R),1,697485362,DM5,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,332,0.0030120481927710845
1642623277,697485362,AL(R),2,697485362,DM5,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.006024096385542169
1667251683,697485362,AL(R),1,697485362,DM5,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,332,0.0030120481927710845
1670278227,697485362,AL(R),1,697485362,DM5,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,332,0.0030120481927710845
1670287030,697485362,AL(R),2,697485362,DM5,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,332,0.006024096385542169
1670627928,697485362,AL(R),2,697485362,DM5,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,332,0.006024096385542169
1671292719,697485362,AL(R),2,697485362,DM5,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,332,0.006024096385542169
1672320134,697485362,AL(R),3,697485362,DM5,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,332,0.009036144578313253
1699974843,697485362,AL(R),1,697485362,DM5,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,332,0.0030120481927710845
1701947337,697485362,AL(R),1,697485362,DM5,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,332,0.0030120481927710845
1702336197,697485362,AL(R),1,697485362,DM5,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,332,0.0030120481927710845
1730327790,697485362,AL(R),4,697485362,DM5,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,332,0.012048192771084338
1732995501,697485362,AL(R),3,697485362,DM5,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,332,0.009036144578313253
1762354941,697485362,AL(R),1,697485362,DM5,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,332,0.0030120481927710845
1858171556,697485362,AL(R),8,697485362,DM5,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,332,0.024096385542168676
1920590638,697485362,AL(R),1,697485362,DM5,1920590638,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,332,0.0030120481927710845
5813054622,697485362,AL(R),2,697485362,DM5,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.006024096385542169
5813054726,697485362,AL(R),2,697485362,DM5,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,332,0.006024096385542169
5813054777,697485362,AL(R),1,697485362,DM5,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.0030120481927710845
5813055277,697485362,AL(R),2,697485362,DM5,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,332,0.006024096385542169
5813062199,697485362,AL(R),1,697485362,DM5,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,332,0.0030120481927710845
5813069055,697485362,AL(R),1,697485362,DM5,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.0030120481927710845
5813078440,697485362,AL(R),1,697485362,DM5,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,332,0.0030120481927710845
