bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1764091241,AL(R),1,1764091241,DM6,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1884,0.0005307855626326964
1578826464,1764091241,AL(R),2,1764091241,DM6,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1884,0.0010615711252653928
1610530558,1764091241,AL(R),5,1764091241,DM6,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1884,0.002653927813163482
1639886198,1764091241,AL(R),18,1764091241,DM6,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1884,0.009554140127388535
1640555311,1764091241,AL(R),6,1764091241,DM6,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1884,0.0031847133757961785
1640572741,1764091241,AL(R),6,1764091241,DM6,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1884,0.0031847133757961785
1640887603,1764091241,AL(R),2,1764091241,DM6,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1884,0.0010615711252653928
1640909284,1764091241,AL(R),4,1764091241,DM6,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1884,0.0021231422505307855
1640922516,1764091241,AL(R),9,1764091241,DM6,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1884,0.004777070063694267
1640922754,1764091241,AL(R),3,1764091241,DM6,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1884,0.0015923566878980893
1642623277,1764091241,AL(R),5,1764091241,DM6,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1884,0.002653927813163482
