bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,724816115,AL(R),63,724816115,DP1l,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6810,0.009251101321585903
1578826464,724816115,AL(R),55,724816115,DP1l,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6810,0.008076358296622614
1610530558,724816115,AL(R),74,724816115,DP1l,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6810,0.010866372980910427
1639886198,724816115,AL(R),4,724816115,DP1l,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6810,0.0005873715124816446
1640555311,724816115,AL(R),87,724816115,DP1l,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6810,0.01277533039647577
1640572741,724816115,AL(R),72,724816115,DP1l,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.010572687224669603
1640887603,724816115,AL(R),42,724816115,DP1l,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6810,0.006167400881057269
1640909284,724816115,AL(R),87,724816115,DP1l,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,6810,0.01277533039647577
1640922516,724816115,AL(R),62,724816115,DP1l,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,6810,0.009104258443465492
1640922754,724816115,AL(R),4,724816115,DP1l,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6810,0.0005873715124816446
1642623277,724816115,AL(R),66,724816115,DP1l,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6810,0.009691629955947136
1667251683,724816115,AL(R),100,724816115,DP1l,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,6810,0.014684287812041116
1669924220,724816115,AL(R),77,724816115,DP1l,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,6810,0.01130690161527166
1670287030,724816115,AL(R),83,724816115,DP1l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,6810,0.012187958883994127
1670597533,724816115,AL(R),92,724816115,DP1l,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,6810,0.013509544787077827
1670627928,724816115,AL(R),52,724816115,DP1l,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6810,0.0076358296622613805
1670916819,724816115,AL(R),60,724816115,DP1l,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,6810,0.00881057268722467
1671257931,724816115,AL(R),5,724816115,DP1l,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,6810,0.0007342143906020558
1671292719,724816115,AL(R),39,724816115,DP1l,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.005726872246696035
1671620613,724816115,AL(R),156,724816115,DP1l,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,6810,0.02290748898678414
1672320134,724816115,AL(R),36,724816115,DP1l,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.0052863436123348016
1699974843,724816115,AL(R),78,724816115,DP1l,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,6810,0.01145374449339207
1701947337,724816115,AL(R),113,724816115,DP1l,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,6810,0.01659324522760646
1702306037,724816115,AL(R),24,724816115,DP1l,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6810,0.003524229074889868
1702651358,724816115,AL(R),64,724816115,DP1l,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6810,0.009397944199706314
1704347707,724816115,AL(R),49,724816115,DP1l,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.007195301027900147
1728294318,724816115,AL(R),1,724816115,DP1l,1728294318,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6810,0.00014684287812041116
1730327790,724816115,AL(R),88,724816115,DP1l,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.012922173274596183
1730979793,724816115,AL(R),30,724816115,DP1l,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,6810,0.004405286343612335
1732995501,724816115,AL(R),59,724816115,DP1l,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6810,0.008663729809104258
1761345315,724816115,AL(R),1,724816115,DP1l,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,6810,0.00014684287812041116
1762354941,724816115,AL(R),39,724816115,DP1l,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6810,0.005726872246696035
1762359683,724816115,AL(R),35,724816115,DP1l,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6810,0.005139500734214391
1762704980,724816115,AL(R),5,724816115,DP1l,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6810,0.0007342143906020558
1763037543,724816115,AL(R),2,724816115,DP1l,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,6810,0.0002936857562408223
1764388538,724816115,AL(R),2,724816115,DP1l,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,6810,0.0002936857562408223
1794037618,724816115,AL(R),1,724816115,DP1l,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,6810,0.00014684287812041116
1795734228,724816115,AL(R),26,724816115,DP1l,1795734228,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,6810,0.0038179148311306903
1824101645,724816115,AL(R),65,724816115,DP1l,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6810,0.009544787077826725
1824745150,724816115,AL(R),20,724816115,DP1l,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,6810,0.002936857562408223
1825789179,724816115,AL(R),6,724816115,DP1l,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,6810,0.000881057268722467
1857799548,724816115,AL(R),1,724816115,DP1l,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,6810,0.00014684287812041116
1858171556,724816115,AL(R),27,724816115,DP1l,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6810,0.003964757709251102
1885765762,724816115,AL(R),36,724816115,DP1l,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,6810,0.0052863436123348016
1885782720,724816115,AL(R),1,724816115,DP1l,1885782720,v2LN46_R,v2LN46,v2LN46,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6810,0.00014684287812041116
1887160257,724816115,AL(R),4,724816115,DP1l,1887160257,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,6810,0.0005873715124816446
1887867926,724816115,AL(R),10,724816115,DP1l,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,6810,0.0014684287812041115
1915155414,724816115,AL(R),5,724816115,DP1l,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,6810,0.0007342143906020558
1916157698,724816115,AL(R),1,724816115,DP1l,1916157698,v2LN46_R,v2LN46,v2LN46,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6810,0.00014684287812041116
1916485259,724816115,AL(R),25,724816115,DP1l,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,6810,0.003671071953010279
